"Order","Diet_Phase","mean_total_parameters","sd_total_parameters","count"
1,"Total.NR.Parameters",404.545454545455,123.988195919098,11
1,"Total.PR.Parameters",463.272727272727,141.54511005972,11
2,"Total.NR.Parameters",412.083333333333,59.718214570725,12
2,"Total.PR.Parameters",588.25,58.6997367192485,12
