"","Factor","Sum.Sq","Df","F.value","Pr..F."
"Sex","Sex",3265.69715007216,1,4.44963600049992,0.041552576799253
"Order","Order",10.3032106782121,1,0.0140385146104238,0.906308109108366
"Diet_Phase","Diet_Phase",13260.0217391305,1,18.06728162057,0.000133351054717438
"Sex:Order","Sex:Order",3655.01269841271,1,4.98009317391301,0.0316159695846375
"Sex:Diet_Phase","Sex:Diet_Phase",476.303210678208,1,0.648981156547423,0.425489690673974
"Order:Diet_Phase","Order:Diet_Phase",4634.69715007215,1,6.31495032842213,0.0163336614828764
"Sex:Order:Diet_Phase","Sex:Order:Diet_Phase",1609.34603174604,1,2.19279489525249,0.146902106641555
"Residuals","Residuals",27889.1333333333,38,NA,NA
