"","F.1.NR","M.1.NR","F.2.NR","M.2.NR","F.1.PR","M.1.PR","F.2.PR","Comparison"
"M.1.NR",1,NA,NA,NA,NA,NA,NA,"M.1.NR"
"F.2.NR",1,1,NA,NA,NA,NA,NA,"F.2.NR"
"M.2.NR",0.410123105198016,0.0989864833050144,0.0501371027890527,NA,NA,NA,NA,"M.2.NR"
"F.1.PR",1,1,1,0.0219416839711265,NA,NA,NA,"F.1.PR"
"M.1.PR",1,1,1,0.0270713941090529,1,NA,NA,"M.1.PR"
"F.2.PR",0.14478529190499,0.34151620749718,0.578236751965427,6.56877896111927e-05,1,0.920452957327306,NA,"F.2.PR"
"M.2.PR",1,1,1,0.00159501113950023,1,1,1,"M.2.PR"
