"","Sex","Order","Diet_Phase","mean_total_parameters","sd_total_parameters","count"
"1","F",1,"NR",71,41.2128620699898,5
"2","F",1,"PR",51.2,36.0998614955792,5
"3","F",2,"NR",59,32.3233661613391,6
"4","F",2,"PR",23.8333333333333,7.83368793523629,6
"5","M",1,"NR",63.1666666666667,6.46271356836017,6
"6","M",1,"PR",55.3333333333333,10.9117673484485,6
"7","M",2,"NR",110.666666666667,40.1480593138282,6
"8","M",2,"PR",40,17.2510869222783,6
