"contrast","estimate","SE","df","t.ratio","p.value","Sex"
"NR0 Order2 SexF - PR0 Order1 SexF",-1.53000000000001,0.786404580189288,19,-1.94556343966325,0.466580271790744,"F"
"NR1 Order2 SexF - PR1 Order1 SexF",-1.00333333333333,0.756812722591279,19,-1.32573528877524,1,"F"
"NR2 Order2 SexF - PR2 Order1 SexF",-0.733333333333337,0.741008479878242,19,-0.989642295934094,1,"F"
"NR3 Order2 SexF - PR3 Order1 SexF",-0.663333333333333,0.74275604992999,19,-0.8930702528722,1,"F"
"NR4 Order2 SexF - PR4 Order1 SexF",-1.07000000000002,0.762244684510379,19,-1.40374871972682,1,"F"
"NR5 Order2 SexF - PR5 Order1 SexF",-0.936666666666665,0.839565816499171,19,-1.11565603108091,1,"F"
"NR6 Order2 SexF - PR6 Order1 SexF",-0.933333333333339,0.840685114646563,19,-1.1102056133416,1,"F"
