"order","Diet_Phase","mean_total_parameters","sd_total_parameters","count"
1,"PR",238.05,45.035812292984,11
1,"NR",223.136363636364,32.4042022465038,11
2,"PR",255.861111111111,28.0578157905427,12
2,"NR",269.504166666667,52.1111124100816,12
