"1.PR","2.PR","1.NR","Comparison"
0.898704231097373,NA,NA,"2.PR"
0.898704231097373,0.302012867072828,NA,"1.NR"
0.302012867072828,0.898704231097373,0.0546744837971711,"2.NR"
