"","contrast","estimate","SE","df","t.ratio","p.value"
"1","grain - pr",0.0821060797128159,0.0418742839268252,19,1.96077573186195,0.0647321689743197
"2","grain - nr",-0.128883785499728,0.0466867684498204,19,-2.76060626552583,0.02489062965707
"3","pr - nr",-0.210989865212544,0.0219901130939357,19,-9.59476035031077,3.0614072493131e-08
