"F.1.NR","M.1.NR","F.2.NR","M.2.NR","F.1.PR","M.1.PR","F.2.PR","Comparison"
1.32652215008918e-05,NA,NA,NA,NA,NA,NA,"M.1.NR"
1,7.5605883744382e-07,NA,NA,NA,NA,NA,"F.2.NR"
8.1100777302159e-05,1,5.16277475606134e-06,NA,NA,NA,NA,"M.2.NR"
1,9.54693470837265e-05,1,0.000586850527271712,NA,NA,NA,"F.1.PR"
3.81857462403391e-05,1,2.19647937303354e-06,1,0.000268965050455666,NA,NA,"M.1.PR"
0.940212037541717,2.28737025599169e-08,1,1.55131015732517e-07,0.223572999024935,6.71424161083486e-08,NA,"F.2.PR"
0.000691906762053574,1,5.67908166097651e-05,1,0.0051772251649486,1,1.75513826178033e-06,"M.2.PR"
