"Factor","Sum.Sq","Df","F.value","Pr..F."
"Sex",209.416711838202,1,142.390032589886,2.02094612810001e-14
"Order",8.51718795642527,1,5.79114560650047,0.0210757700195077
"Diet_Phase",1.16756432416235,1,0.793869413328921,0.378539600506259
"Sex:Order",0.797531747038107,1,0.542270817144542,0.466015121186818
"Sex:Diet_Phase",0.149758847407661,1,0.10182648259455,0.751396273030008
"Order:Diet_Phase",1.81149045172695,1,1.2316981877595,0.274051023850387
"Sex:Order:Diet_Phase",0.750795115493993,1,0.510492882946771,0.47929197369768
"Residuals",55.8875850023292,38,NA,NA
