Mouse ID,Sex,Order,PR,NR
FEDXA01,M,2,1.3352675480531468,0.7494990847783397
FEDXA02,M,2,1.9810382549890604,1.189244480963201
FEDXA03,M,2,2.072063752,1.0278518464099484
FEDXA04,M,2,1.7390469982745185,0.7796088962037379
FEDXA05,M,2,2.298374057890504,1.5915650389549725
FEDXA06,M,2,2.428864595098284,1.6154700777707716
FEDXA07,M,1,1.5281744632420895,1.207903936266043
FEDXA08,M,1,0.8599046888858821,1.214783839934365
FEDXA09,M,1,1.929763037923952,1.3642687250370238
FEDXA10,M,1,1.3637729047762093,1.426769094596112
FEDXA11,M,1,1.6972785362477305,1.3878043235442388
FEDXA12,M,1,1.8658837534358343,1.5937939829651706
FEDXB01,F,2,2.345774514930921,2.0452057784227127
FEDXB02,F,2,1.938406363874376,1.4620865318565388
FEDXB03,F,2,2.273650554514818,2.189047392507521
FEDXB04,F,2,1.8158858705294247,1.0718658628787827
FEDXB05,F,2,1.8740177910171292,1.756406469364116
FEDXB06,F,2,1.9897566585856248,1.694771966641636
FEDXB07,F,1,2.3992002665778074,1.3468300759232792
FEDXB08,F,1,1.2416139655040908,0.7824952905376031
FEDXB10,F,1,2.628391271882519,2.135787291406422
FEDXB11,F,1,1.6647996380580008,1.8391367101541043
FEDXB12,F,1,0.8418469797383971,0.6873011972986074
