"Effect","df","MSE","F","pes","p.value"
"Order","1, 21","2.25","1.90",".083",".182"
"phase","1, 21","0.48","29.79 ***",".587","<.001"
"Order:phase","1, 21","0.48","2.72",".115",".114"
"day","3.29, 69.09","0.18","3.23 *",".133",".024"
"Order:day","3.29, 69.09","0.18","0.88",".040",".465"
"phase:day","3.73, 78.39","0.20","3.46 *",".142",".013"
"Order:phase:day","3.73, 78.39","0.20","3.86 **",".155",".008"
