mouse_id,sex,order,hour,pr_hourly_pellet_intake,nr_hourly_pellet_intake
FEDXA01,M,2,0,4.571428571428571,6.571428571428571
FEDXA01,M,2,1,8.0,8.714285714285714
FEDXA01,M,2,2,6.285714285714286,3.4285714285714284
FEDXA01,M,2,3,5.0,9.142857142857142
FEDXA01,M,2,4,4.714285714285714,10.571428571428571
FEDXA01,M,2,5,5.714285714285714,6.142857142857143
FEDXA01,M,2,6,3.7142857142857144,7.0
FEDXA01,M,2,7,4.0,2.2857142857142856
FEDXA01,M,2,8,4.714285714285714,2.5714285714285716
FEDXA01,M,2,9,3.142857142857143,3.0
FEDXA01,M,2,10,3.5714285714285716,5.142857142857143
FEDXA01,M,2,11,5.714285714285714,8.0
FEDXA01,M,2,12,7.714285714285714,6.285714285714286
FEDXA01,M,2,13,10.428571428571429,14.285714285714286
FEDXA01,M,2,14,14.428571428571429,17.0
FEDXA01,M,2,15,17.0,21.142857142857142
FEDXA01,M,2,16,18.428571428571427,24.857142857142858
FEDXA01,M,2,17,13.428571428571429,21.857142857142858
FEDXA01,M,2,18,12.857142857142858,14.142857142857142
FEDXA01,M,2,19,6.0,6.285714285714286
FEDXA01,M,2,20,9.571428571428571,10.0
FEDXA01,M,2,21,4.428571428571429,5.428571428571429
FEDXA01,M,2,22,10.285714285714286,4.285714285714286
FEDXA01,M,2,23,10.857142857142858,9.857142857142858
FEDXA02,M,2,0,7.571428571428571,4.857142857142857
FEDXA02,M,2,1,8.142857142857142,4.714285714285714
FEDXA02,M,2,2,8.857142857142858,6.285714285714286
FEDXA02,M,2,3,6.142857142857143,6.571428571428571
FEDXA02,M,2,4,3.0,10.0
FEDXA02,M,2,5,4.142857142857143,7.571428571428571
FEDXA02,M,2,6,4.571428571428571,3.4285714285714284
FEDXA02,M,2,7,3.5714285714285716,2.4285714285714284
FEDXA02,M,2,8,1.5714285714285714,0.7142857142857143
FEDXA02,M,2,9,3.5714285714285716,2.4285714285714284
FEDXA02,M,2,10,3.0,2.4285714285714284
FEDXA02,M,2,11,6.0,4.142857142857143
FEDXA02,M,2,12,9.428571428571429,6.571428571428571
FEDXA02,M,2,13,15.285714285714286,15.142857142857142
FEDXA02,M,2,14,15.285714285714286,16.714285714285715
FEDXA02,M,2,15,13.714285714285714,13.142857142857142
FEDXA02,M,2,16,16.285714285714285,15.571428571428571
FEDXA02,M,2,17,14.714285714285714,13.857142857142858
FEDXA02,M,2,18,5.571428571428571,13.142857142857142
FEDXA02,M,2,19,11.428571428571429,7.142857142857143
FEDXA02,M,2,20,9.0,10.0
FEDXA02,M,2,21,5.571428571428571,6.0
FEDXA02,M,2,22,8.428571428571429,4.714285714285714
FEDXA02,M,2,23,10.142857142857142,8.285714285714286
FEDXA03,M,2,0,10.428571428571429,8.571428571428571
FEDXA03,M,2,1,7.285714285714286,9.0
FEDXA03,M,2,2,9.0,13.428571428571429
FEDXA03,M,2,3,4.571428571428571,9.857142857142858
FEDXA03,M,2,4,8.714285714285714,11.857142857142858
FEDXA03,M,2,5,4.0,9.285714285714286
FEDXA03,M,2,6,3.2857142857142856,5.0
FEDXA03,M,2,7,4.142857142857143,5.714285714285714
FEDXA03,M,2,8,1.7142857142857142,3.4285714285714284
FEDXA03,M,2,9,3.0,2.4285714285714284
FEDXA03,M,2,10,6.571428571428571,4.285714285714286
FEDXA03,M,2,11,5.142857142857143,6.571428571428571
FEDXA03,M,2,12,10.142857142857142,11.571428571428571
FEDXA03,M,2,13,17.285714285714285,21.857142857142858
FEDXA03,M,2,14,19.857142857142858,26.571428571428573
FEDXA03,M,2,15,20.714285714285715,23.714285714285715
FEDXA03,M,2,16,17.428571428571427,21.857142857142858
FEDXA03,M,2,17,19.142857142857142,23.428571428571427
FEDXA03,M,2,18,16.571428571428573,17.714285714285715
FEDXA03,M,2,19,7.857142857142857,14.857142857142858
FEDXA03,M,2,20,9.142857142857142,7.571428571428571
FEDXA03,M,2,21,8.0,7.428571428571429
FEDXA03,M,2,22,5.285714285714286,4.857142857142857
FEDXA03,M,2,23,10.0,10.714285714285714
FEDXA04,M,2,0,8.285714285714286,3.857142857142857
FEDXA04,M,2,1,6.428571428571429,3.857142857142857
FEDXA04,M,2,2,4.285714285714286,8.285714285714286
FEDXA04,M,2,3,5.285714285714286,11.571428571428571
FEDXA04,M,2,4,4.857142857142857,5.142857142857143
