"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"diet",17.3132018072604,17.3132018072604,1,893.000001539069,3.49505361740259,0.061879490580068
"sex",3.7217707279191,3.7217707279191,1,18.9999999457761,0.751321932855991,0.396872784330247
"order",21.2280926087283,21.2280926087283,1,18.9999999377772,4.28536111856443,0.0523129889280162
"hour",22865.6153648365,994.157189775501,23,892.999998610033,200.69266915924,0
"diet:sex",8.00908427736267,8.00908427736267,1,893.000001679714,1.61681122228587,0.203868057428696
"diet:order",46.8841886036649,46.8841886036649,1,893.000000543134,9.46461288919462,0.00215859021758279
"sex:order",12.476196946319,12.476196946319,1,18.9999999564462,2.51859695012469,0.129013280994205
"diet:hour",168.929915100976,7.34477891743374,23,892.999999928892,1.48270645777571,0.0672308008740963
"sex:hour",335.57557431703,14.59024236161,23,892.999999879105,2.94536388545653,4.86119814968399e-06
"order:hour",406.086615241332,17.6559397931014,23,892.999999598411,3.56424287832442,4.05420006999039e-08
"diet:sex:order",0.470562429005666,0.470562429005666,1,893.000000359965,0.0949934586345728,0.757994354058112
"diet:sex:hour",186.221217336145,8.09657466678891,23,893.000000027484,1.63447309704805,0.0305789067364257
"diet:order:hour",108.840022000867,4.73217486960293,23,893.000000046859,0.95529440945184,0.522671481822574
"sex:order:hour",90.415953325776,3.93112840546852,23,893.000000048024,0.79358542151603,0.74212737340045
"diet:sex:order:hour",117.562487177418,5.1114124859747,23,893.000000012217,1.03185192999085,0.420748869650868
