"Order","phase","day","n","mean","sd"
"1","NR","0",11,3.39980754793413,0.352574044787399
"1","NR","1",11,3.30550226742783,0.457875911261904
"1","NR","2",11,3.2604135319787,0.387415552044745
"1","NR","3",11,3.41094775771809,0.395694180123845
"1","NR","4",11,3.46676425062126,0.411940083987913
"1","NR","5",11,3.45246067635689,0.402941003403003
"1","NR","6",11,3.43295719591302,0.422966098091634
"1","PR","0",11,3.18834734113082,0.354356624707178
"1","PR","1",11,3.11068561489619,0.421995578161223
"1","PR","2",11,3.07972947969554,0.405581632013963
"1","PR","3",11,3.24689246293524,0.51197373760804
"1","PR","4",11,3.1657827173119,0.288483268570027
"1","PR","5",11,3.28221552713048,0.452257802174969
"1","PR","6",11,3.27648191168264,0.339685437760795
"2","NR","0",12,3.41999310170354,0.263398147203678
"2","NR","1",12,3.49588041644099,0.280545494984558
"2","NR","2",12,3.5233806696665,0.321035193101723
"2","NR","3",12,3.40882713584431,0.334369003762341
"2","NR","4",12,3.60271376358775,0.329059006891017
"2","NR","5",12,3.46556883058192,0.334489124929827
"2","NR","6",12,3.67641135667451,0.316035591179157
"2","PR","0",12,2.84570885088839,0.148324549847765
"2","PR","1",12,2.76836441589945,0.192624467520798
"2","PR","2",12,2.72560231349772,0.16355760242322
"2","PR","3",12,2.89759916836263,0.186939787251193
"2","PR","4",12,3.05387096152138,0.233484219222221
"2","PR","5",12,3.11070196185637,0.273800642727108
"2","PR","6",12,3.28698228495461,0.365900881136819
