"","sex","order","Diet_Phase","mean_total_parameters","sd_total_parameters","count"
"1","F",1,"NR",1.16961634841749,0.671360055511481,5
"2","F",1,"PR",1.52177588237179,0.741887782833574,5
"3","F",2,"NR",1.41037421842443,0.412870572215995,6
"4","F",2,"PR",1.86528193713763,0.227963744514667,6
"5","M",1,"NR",1.07122810313658,0.137776497014888,6
"6","M",1,"PR",1.33329788551759,0.378409949483973,6
"7","M",2,"NR",0.868395398801317,0.370440850541554,6
"8","M",2,"PR",1.77440424175498,0.435851406418864,6
