"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"hour       ",23,2660.10867346939,115.656898846495,16.3168675748261,8.00128852981959e-24
"Residuals  ",96,680.465306122449,7.08818027210885,NA,NA
