"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1,1,0.305451649786516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",0.606556793120143,1,1,0.104155391605461,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",0.167103196243967,0.508237778187094,1,0.0218829967973822,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",0.00574780773470662,0.023477247968833,1,0.000498367765880163,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1,1,1,0.606556793120143,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",0.909939534295535,1,1,0.167103196243967,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1,1,1,1,1,1,1,0.446658728831961,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1,1,1,1,1,0.713910971388678,0.202278797496669,0.00746876151774778,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",0.395366897422345,0.129310753535285,5.20282125657707e-05,1,0.000594926855371496,1.00568547672679e-05,1.16242392249722e-06,8.88670613790009e-09,0.000157182343905467,2.10204127315953e-05,0.00486183794683451,0.322507473429258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",0.000313487865772775,5.73934049454861e-05,3.06605766731621e-09,0.0037964970503777,5.60898157958477e-08,4.58406960660944e-10,4.06794453231743e-11,1.99269505184139e-13,1.11576694012166e-08,1.04720817233841e-09,7.53916896557805e-07,0.000233768241378244,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2.88597110206916e-13,3.47074432439304e-14,4.41437316901886e-19,8.31951063021099e-12,1.05213987867109e-17,5.8438235210726e-20,4.71493761385647e-21,2.17106674978309e-23,1.77822593239614e-18,1.41611586011641e-19,1.95124626038805e-16,1.99269505184139e-13,1.29295929384704e-06,0.00746876151774778,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",4.59782907817592e-15,5.35212054381838e-16,6.86246986240794e-21,1.38094618686221e-13,1.60196270245843e-19,9.22416209761104e-22,7.53434998703113e-23,3.66915382111585e-25,2.75103322546091e-20,2.21949112182912e-21,2.94966564654673e-18,3.16324944244235e-15,3.14377339167148e-08,0.000379953880963606,1,NA,NA,NA,NA,NA,NA,NA,NA
"16",5.12973914722763e-10,6.60549803066975e-11,1.00867678389508e-15,1.24993071692296e-08,2.38143654871359e-14,1.33570111253806e-16,1.05213987867109e-17,4.55119912519984e-20,4.06447595234673e-15,3.22551973289814e-16,4.19532251881682e-13,3.60940991443172e-10,0.000651679695973978,0.630758477276653,1,1,NA,NA,NA,NA,NA,NA,NA
"17",1.29295929384704e-06,1.96903529575724e-07,5.07323932021107e-12,2.32425067123305e-05,1.07099972141206e-10,6.91346658103039e-13,5.73997503111466e-14,2.50879384607953e-16,1.95222339758314e-11,1.65880224497451e-12,1.68919034845498e-09,9.38946758636843e-07,0.175757150742105,1,0.395366897422345,0.0381684397635109,1,NA,NA,NA,NA,NA,NA
"18",3.1195557256165e-05,5.30799976358591e-06,1.96855291310022e-10,0.000459995691082147,3.87733206638291e-09,2.81912731306461e-11,2.40577660453188e-12,1.11569993233189e-14,7.35013957947401e-10,6.60549803066975e-11,5.60898157958477e-08,2.32425067123305e-05,1,1,0.0480798894113768,0.00317947162132768,1,1,NA,NA,NA,NA,NA
"19",1,1,0.0188504113902326,1,0.129310753535285,0.00486183794683451,0.000786106789149435,1.1138141265185e-05,0.044644903012493,0.00879940838710928,0.57735525237611,1,1,0.0835998320557921,8.25887841713983e-10,1.52966864391868e-11,9.38946758636843e-07,0.000947151203773149,0.0135428319413393,NA,NA,NA,NA
"20",1,1,0.289102565597402,1,1,0.0970765955020215,0.020243447769125,0.000459995691082147,0.57735525237611,0.1574733935746,1,1,1,0.0041065785599436,9.34182046890893e-12,1.55414881779509e-13,1.39320471694567e-08,2.54089043794454e-05,0.000498367765880163,1,NA,NA,NA
"21",1,1,0.305451649786516,1,1,0.104155391605461,0.0218829967973822,0.000498367765880163,0.606556793120143,0.167103196243967,1,1,1,0.0037964970503777,8.31951063021099e-12,1.38094618686221e-13,1.24993071692296e-08,2.32425067123305e-05,0.000459995691082147,1,1,NA,NA
"22",1,1,1,1,1,1,1,0.861111085514587,1,1,1,1,0.00183036671838294,2.19688271293721e-07,4.82935984946368e-17,7.31744875934856e-19,1.07670269711665e-13,4.58406960660944e-10,1.56018545178789e-08,0.289102565597402,1,1,NA
"23",0.0188504113902326,0.00446907039164558,6.04885323047553e-07,0.148306035508151,9.07828647039214e-06,9.91888824608592e-08,9.95844599314044e-09,5.86541289651437e-11,1.9958420434422e-06,2.19688271293721e-07,9.55568063439798e-05,0.0146670049334885,1,1,0.0001052474719201,3.44570566607391e-06,0.0253576345572884,1,1,1,0.1574733935746,0.148306035508151,3.1195557256165e-05
