"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"hour       ",23,4694.06746031746,204.08988957902,24.3677874414446,8.3531587903196e-35
"Residuals  ",120,1005.04761904762,8.37539682539683,NA,NA
