"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"hour       ",23,3107.40986394558,135.104776693286,27.5259090904526,2.34574151440317e-37
"Residuals  ",120,588.993197278912,4.90827664399093,NA,NA
