"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"hour       ",23,2138.92389455782,92.9966910677314,21.7577955267788,1.71772749916473e-32
"Residuals  ",120,512.901360544218,4.27417800453515,NA,NA
