"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"hour       ",23,2073.40952380952,90.1482401656315,18.5928077368566,6.60171858828848e-26
"Residuals  ",96,465.461224489796,4.84855442176871,NA,NA
