"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
"1",0.00512125737495917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",0.00656788040753537,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",0.0963495658750018,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",0.0197039858441129,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",0.000201647756402539,1,0.90212524030465,0.691981095650061,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",0.004541614759531,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",0.0395954681625793,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",0.0584199462434758,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1,0.0150430745281019,1,1,0.0188502435346842,0.247362548549528,0.05577862862946,0.000696269086670063,0.0134976896486872,0.106561843280574,0.154574889596729,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1,1.28425606712327e-06,0.00427578173637371,0.0061895306889911,1.73836822214707e-06,5.67436547199105e-05,7.27016547896077e-06,2.80373403185457e-08,1.10788173452836e-06,1.77677076460176e-05,2.94434734028763e-05,0.00240522037265689,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",0.211842448073562,3.1753101249639e-09,2.38616395803086e-05,3.66196428937957e-05,4.39125637065238e-09,1.86581536448523e-07,2.04338031709177e-08,5.63117702407507e-11,2.70459448088822e-09,5.30630410951891e-08,9.23780358434687e-08,1.23036718911972e-05,0.0821915388475629,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",0.00482315017630166,1.26033596230252e-11,1.47492201422771e-07,2.35898157579478e-07,1.75492091636937e-11,8.56659227891051e-10,8.51222448417387e-11,2.08141826395599e-13,1.06992994976514e-11,2.30148055082391e-10,4.09844765124881e-10,7.2906542694542e-08,0.0015471408223145,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"16",0.691981095650061,2.20747281197261e-08,0.000132273932321054,0.000201647756402539,3.02821096412973e-08,1.19286719062468e-06,1.36718918529356e-07,4.09844765124881e-10,1.8913686424832e-08,3.46408425950133e-07,5.96790097669667e-07,7.00611579280545e-05,0.286415650912601,1,1,1,NA,NA,NA,NA,NA,NA,NA
"17",1,4.65799924237781e-06,0.0120344349211909,0.0168458253213672,6.29667776132415e-06,0.000188599693555906,2.54837222184726e-05,1.07996258676004e-07,4.02977213646488e-06,6.07903603748969e-05,9.94828116221822e-05,0.00696813095295906,1,1,1,1,1,NA,NA,NA,NA,NA,NA
"18",1,2.74259362639803e-07,0.00118431137770782,0.00174519319549531,3.73391685135456e-07,1.32100623202474e-05,1.61520103642427e-06,5.59239365700413e-09,2.35898157579478e-07,4.02977213646488e-06,6.76628883895867e-06,0.000655812771559258,1,1,1,1,1,1,NA,NA,NA,NA,NA
"19",1,0.00226095972941975,1,1,0.00292244061206132,0.0470322721045516,0.00949450657576418,8.07102751168012e-05,0.00198697110649483,0.0188502435346842,0.0282668980450796,0.785280337099368,1,1,0.402110485765924,0.0107219011419492,1,1,1,NA,NA,NA,NA
"20",1,0.0150430745281019,1,1,0.0188502435346842,0.247362548549528,0.05577862862946,0.000696269086670063,0.0134976896486872,0.106561843280574,0.154574889596729,1,1,1,0.0821915388475629,0.0015471408223145,0.286415650912601,1,1,1,NA,NA,NA
"21",1,1,1,1,1,1,1,0.147201492377712,1,1,1,1,1,0.0375246215048279,0.000328552669846185,2.54955786023641e-06,0.00163928326276271,0.0963495658750018,0.0120344349211909,1,1,NA,NA
"22",1,1,1,1,1,1,1,0.364980921832584,1,1,1,1,1,0.0134976896486872,9.29366595561612e-05,6.42954923863127e-07,0.000498608804137625,0.0355548648796721,0.00402482396283012,1,1,1,NA
"23",1,0.000739060623219555,0.542623364959796,0.716875055272703,0.000969040078485923,0.0178215807903515,0.00331965221802493,2.38616395803086e-05,0.000655812771559258,0.00696813095295906,0.0107219011419492,0.34880225071338,1,1,0.90212524030465,0.0282668980450796,1,1,1,1,1,1,1
