"Sex","Order","Diet_Phase","mean_total_parameters","sd_total_parameters","count"
"F",1,"NR",-0.34,1.60872620417522,5
"F",1,"PR",0.120000000000001,0.668580586017872,5
"F",2,"NR",0.716666666666667,0.89981479575892,6
"F",2,"PR",-0.3,0.777174369109018,6
"M",1,"NR",-0.666666666666667,0.739369100427294,6
"M",1,"PR",-0.133333333333334,1.05955965696447,6
"M",2,"NR",0.85,0.605805249234438,6
"M",2,"PR",-1.63333333333333,0.954288565721431,6
