"contrast","estimate","SE","df","t.ratio","p.value","contrast_pretty"
"NR X0 Order1 - PR X0 Order1",23.5454545454546,15.6952825063944,21,1.50016124500225,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X1 Order1",-6.72727272727271,13.3245260660147,21,-0.504878949836062,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X1 Order1",-9.72727272727275,17.9743000535868,21,-0.54117671888601,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X2 Order1",-18.4545454545454,10.735181861886,21,-1.71907152500752,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X2 Order1",-19,17.558149113406,21,-1.08211861496797,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X3 Order1",-10.7272727272727,11.5491012409039,21,-0.928840478883281,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X3 Order1",-18.7272727272728,11.8656223976622,21,-1.57827984910108,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X4 Order1",-20.7272727272727,13.2787462384824,21,-1.56093597656111,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X4 Order1",-25.5454545454545,10.1630950946126,21,-2.51355067601366,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X5 Order1",-23.6363636363636,17.5367532573861,21,-1.34781868054216,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X5 Order1",-38.5454545454545,10.1473225819322,21,-3.7985837381465,0.35822786188571,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X6 Order1",-14.0909090909091,16.1582844013435,21,-0.872054776417819,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X6 Order1",-31.4545454545454,7.78044054979482,21,-4.04277177535595,0.204719555915301,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X0 Order2",-62.4848484848485,16.5287035491663,21,-3.7803841238353,0.371896332293766,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X0 Order2",26.2651515151515,14.7711464540654,21,1.77813899529259,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X1 Order2",-65.2348484848485,16.095625584296,21,-4.05295514257588,0.20036920966652,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X1 Order2",17.2651515151515,16.3211116888332,21,1.05784163752547,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X2 Order2",-36.8181818181818,14.5539702705562,21,-2.52976893134569,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X2 Order2",-25.8181818181818,15.8250905448175,21,-1.63147134893562,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X3 Order2",-26.9848484848484,15.1309337125419,21,-1.78342255656576,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X3 Order2",-25.9848484848486,15.3333565040406,21,-1.69466147076155,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X4 Order2",-18.4015151515151,15.8288751948448,21,-1.16252828612283,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X4 Order2",-49.5681818181818,16.0230532239931,21,-3.09355408892718,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X5 Order2",-37.8181818181818,15.4626071834734,21,-2.44578300214483,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X5 Order2",-60.4015151515151,15.6485079402633,21,-3.85988973403038,0.313172234098613,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X6 Order2",-34.0681818181819,14.4620514807414,21,-2.35569496233292,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X6 Order2",-51.9015151515151,17.3773554332402,21,-2.98673266774733,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - NR X1 Order1",-30.2727272727273,16.0147634563723,21,-1.89030124329946,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - PR X1 Order1",-33.2727272727273,10.0203649383953,21,-3.32051052803828,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - NR X2 Order1",-42,13.1387725787969,21,-3.1966456339901,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - PR X2 Order1",-42.5454545454546,11.6966795042844,21,-3.63739594043509,0.508468833916664,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - NR X3 Order1",-34.2727272727273,12.8868589428162,21,-2.65950977075237,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - PR X3 Order1",-42.2727272727273,14.6843309337022,21,-2.8787642735364,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - NR X4 Order1",-44.2727272727273,13.4317012884261,21,-3.29613697639898,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - PR X4 Order1",-49.0909090909091,15.2034650524114,21,-3.22892899228409,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - NR X5 Order1",-47.1818181818182,14.0682555416084,21,-3.35377887061212,0.938150599826889,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - PR X5 Order1",-62.0909090909091,14.527712845076,21,-4.27396313191544,0.119125051396269,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - NR X6 Order1",-37.6363636363637,12.1326028729527,21,-3.10208485602597,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - PR X6 Order1",-55,14.4958072258301,21,-3.7942005673196,0.360924638266482,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - NR X0 Order2",-86.0303030303031,14.6008815729897,21,-5.89213073198616,0.00281644160477739,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - PR X0 Order2",2.71969696969696,12.5767431897012,21,0.216248111985307,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - NR X1 Order2",-88.7803030303031,14.1087513495026,21,-6.2925698264172,0.00115776727658445,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - PR X1 Order2",-6.28030303030308,14.3654581706124,21,-0.437180837235721,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - NR X2 Order2",-60.3636363636363,12.3209477041533,21,-4.89926893718479,0.0276093591979554,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - PR X2 Order2",-49.3636363636364,13.7993185499835,21,-3.577251745065,0.577420262951441,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - NR X3 Order2",-50.530303030303,12.9974173090497,21,-3.88771875433441,0.293911932189984,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - PR X3 Order2",-49.5303030303031,13.232517650555,21,-3.74307477520921,0.402820191095096,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - NR X4 Order2",-41.9469696969697,13.8036586319069,21,-3.03882983602695,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - PR X4 Order2",-73.1136363636364,14.0259023350073,21,-5.2127581254542,0.0134782406203229,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - NR X5 Order2",-61.3636363636364,13.3820746748271,21,-4.58550993435022,0.05707906939657,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - PR X5 Order2",-83.9469696969697,13.5964518330603,21,-6.17418211219262,0.00150072882005257,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - NR X6 Order2",-57.6136363636365,12.2122329949875,21,-4.71769875233168,0.0420149135127978,"NANA OrderNA - NANA OrderNA"
