"","Factor","Sum.Sq","Df","F.value","Pr..F."
"Sex","Sex",0.836290932544829,1,4.21209549301626,0.047071399301023
"Order","Order",0.312462193731385,1,1.57375925857404,0.217323532211696
"Diet_Phase","Diet_Phase",0.303234053135829,1,1.52728044611916,0.224106448810463
"Sex:Order","Sex:Order",1.32384992124202e-06,1,6.66775409094193e-06,0.997953213789598
"Sex:Diet_Phase","Sex:Diet_Phase",0.00557833578429534,1,0.02809606334492,0.867772064348198
"Order:Diet_Phase","Order:Diet_Phase",0.00564510059040657,1,0.0284323335685579,0.866990745025191
"Sex:Order:Diet_Phase","Sex:Order:Diet_Phase",0.792963091169115,1,3.99386879907685,0.0528579620645578
"Residuals","Residuals",7.54471390532191,38,NA,NA
