"","Sex","Order","Diet_Phase","mean_total_parameters","sd_total_parameters","count"
"1","F",1,"NR",7.440131681651,0.490251300798048,5
"2","F",1,"PR",7.02290247120219,0.62782853240134,5
"3","F",2,"NR",7.02157382593055,0.501453546997701,6
"4","F",2,"PR",7.11184968413229,0.44673477442801,6
"5","M",1,"NR",7.45680678334014,0.3829795884481,6
"6","M",1,"PR",7.54734597901056,0.367529069444622,6
"7","M",2,"NR",7.5643861143629,0.383407798839973,6
"8","M",2,"PR",7.10879461256886,0.348641129377222,6
