
	Pairwise comparisons using t tests with pooled SD 

data:  combined_data$pr_hourly_pellet_intake and interaction(combined_data$group, combined_data$hour) 

                  Female_Order_1.0 Female_Order_2.0 Male_Order_1.0
Male_Order_1.5    1.00000        1.00000          1.00000         
Male_Order_2.5    1.00000        1.00000          1.00000         
Female_Order_1.6  1.00000        1.00000          1.00000         
Female_Order_2.6  0.50723        1.00000          1.00000         
Male_Order_1.6    1.00000        1.00000          1.00000         
Male_Order_2.6    1.00000        1.00000          1.00000         
Female_Order_1.7  0.01712        1.00000          1.00000         
Female_Order_2.7  0.02501        1.00000          1.00000         
Male_Order_1.7    1.00000        1.00000          1.00000         
Male_Order_2.7    1.00000        1.00000          1.00000         
Female_Order_1.8  0.93462        1.00000          1.00000         
Female_Order_2.8  0.13982        1.00000          1.00000         
Male_Order_1.8    1.00000        1.00000          1.00000         
Male_Order_2.8    1.00000        1.00000          1.00000         
Female_Order_1.9  1.00000        1.00000          1.00000         
Female_Order_2.9  1.00000        1.00000          1.00000         
Male_Order_1.9    1.00000        1.00000          1.00000         
Male_Order_2.9    1.00000        1.00000          1.00000         
Female_Order_1.10 1.00000        1.00000          1.00000         
Female_Order_2.10 0.76342        1.00000          1.00000         
Male_Order_1.10   1.00000        1.00000          1.00000         
Male_Order_2.10   1.00000        1.00000          1.00000         
Female_Order_1.11 1.00000        1.00000          1.00000         
Female_Order_2.11 1.00000        1.00000          1.00000         
Male_Order_1.11   1.00000        1.00000          0.47453         
Male_Order_2.11   1.00000        1.00000          1.00000         
Female_Order_1.12 1.00000        0.00323          3.3e-05         
Female_Order_2.12 1.00000        0.00024          1.0e-06         
Male_Order_1.12   1.00000        0.00543          4.6e-05         
Male_Order_2.12   1.00000        0.00141          8.8e-06         
Female_Order_1.13 0.02132        2.9e-10          1.8e-13         
Female_Order_2.13 5.1e-07        < 2e-16          < 2e-16         
Male_Order_1.13   0.00030        2.4e-13          < 2e-16         
Male_Order_2.13   0.00017        1.1e-13          < 2e-16         
Female_Order_1.14 5.8e-06        3.1e-15          < 2e-16         
Female_Order_2.14 1.2e-08        < 2e-16          < 2e-16         
Male_Order_1.14   1.0e-07        < 2e-16          < 2e-16         
Male_Order_2.14   6.6e-09        < 2e-16          < 2e-16         
Female_Order_1.15 7.5e-10        < 2e-16          < 2e-16         
