"group","hour","mean_pr_pellets","sd_pr_pellets","mean_nr_pellets","sd_nr_pellets"
"Female_Order_1",0,10.3142857142857,4.3663836435257,7.17142857142857,2.19321774606003
"Female_Order_1",1,2.88571428571428,1.62694154028662,2.31428571428571,1.32248992126093
"Female_Order_1",2,6.17142857142857,1.85549377332751,5.6,2.11505777409391
"Female_Order_1",3,6.34285714285714,1.16758952809729,4.54285714285714,0.5660460787474
"Female_Order_1",4,3,0.614451804788758,5.48571428571428,2.95648715987921
"Female_Order_1",5,4.34285714285714,2.15378167654107,3.57142857142857,1.55182578445717
"Female_Order_1",6,3.54285714285714,1.31475147026783,4.54285714285714,2.23012766176179
"Female_Order_1",7,1.48571428571428,0.901246302604999,2.8,0.982499935088537
"Female_Order_1",8,2.82857142857143,0.810643483377778,3.71428571428571,1.98720396332051
"Female_Order_1",9,3.88571428571428,1.42642696187047,3.94285714285714,0.667006715995926
"Female_Order_1",10,4.08571428571428,1.76877681706071,5.62857142857142,3.00271985549972
"Female_Order_1",11,5.91428571428571,1.0860901604999,7.25714285714285,1.33783254496493
"Female_Order_1",12,9.79999999999998,2.93917939401527,10.6571428571428,1.55379719213468
"Female_Order_1",13,13.6857142857142,3.41425582772333,12.9142857142857,2.11071126419897
"Female_Order_1",14,15.8571428571428,2.79394388794402,16.6571428571428,2.20064925484666
"Female_Order_1",15,17.7714285714285,2.82590061497468,14.8571428571428,1.12485826771595
"Female_Order_1",16,15.1714285714285,3.33870315774105,15.3428571428571,2.54670655665591
"Female_Order_1",17,13.2,3.98159028837594,13.6857142857142,3.28478247656784
"Female_Order_1",18,14.2571428571428,4.0950442922027,10.7142857142857,3.82126167859862
"Female_Order_1",19,10.6857142857143,2.65806435634072,9.25714285714284,1.5694793105111
"Female_Order_1",20,9.79999999999997,3.16163223151377,7.3142857142857,2.92491060390164
"Female_Order_1",21,7.22857142857142,3.32982808896206,5.97142857142857,1.58886431010277
"Female_Order_1",22,6.71428571428571,1.60991823851209,9.65714285714283,2.4423976175981
"Female_Order_1",23,11.1714285714285,4.29451477385478,9.54285714285712,2.89157820053267
"Female_Order_2",0,7.47619047619047,1.41325118487997,8.04761904761903,1.91804889526461
"Female_Order_2",1,1.97619047619047,1.38037754866947,2.88095238095238,1.45241998386273
"Female_Order_2",2,6.99999999999999,2.41255220943823,5.73809523809523,2.05519087284114
"Female_Order_2",3,4.61904761904761,1.95389024124436,6.40476190476189,3.21148025716751
"Female_Order_2",4,4.52380952380952,1.76973805663879,5.52380952380951,2.54537061439503
