"order","pellet_type","N","Mean","SD","SEM"
"ProteinRestricted","PR",6,31,4.56070170039655,1.86189867250253
"ProteinRestricted","RICH",6,24.6666666666667,5.98887858172685,2.44494944278563
"NonRestricted","PR",6,33.3333333333333,3.44480284873702,1.40633487398193
"NonRestricted","RICH",6,20.5,6.34822809924155,2.59165326899002
