mouse_id,order,sex,diet_phase,a,b
FEDXA01,2.0,M,GRAIN,56.78463405170028,0.250593824364484
FEDXA01,2.0,M,PR,235.53357779357262,0.4115039834196936
FEDXA01,2.0,M,NR,84.82573528730772,0.21723610951368633
FEDXA02,2.0,M,GRAIN,122.11899480360441,0.41776473528566327
FEDXA02,2.0,M,PR,565.6002406883638,0.6389902058327634
FEDXA02,2.0,M,NR,167.06233096366873,0.36751738491444863
FEDXA03,2.0,M,GRAIN,124.97524800537487,0.41063447541705267
FEDXA03,2.0,M,PR,412.8833545773011,0.4962845346664052
FEDXA03,2.0,M,NR,86.57013077689061,0.21047322474168118
FEDXA04,2.0,M,GRAIN,110.06728870105022,0.3707185351444411
FEDXA04,2.0,M,PR,186.9883759924341,0.35979282691131353
FEDXA04,2.0,M,NR,101.80450857929553,0.24912955868056386
FEDXA05,2.0,M,GRAIN,23.81903581142996,0.16858941600519017
FEDXA05,2.0,M,PR,515.7845800017108,0.5887499510859158
FEDXA05,2.0,M,NR,196.97235171032858,0.34460761458825884
FEDXA06,2.0,M,GRAIN,39.24571772593903,0.24854724295404296
FEDXA06,2.0,M,PR,565.1572404697727,0.6344611029822915
FEDXA06,2.0,M,NR,231.25073132553243,0.4319453636569663
FEDXA07,1.0,M,GRAIN,43.42560215579271,0.21530011502332563
FEDXA07,1.0,M,PR,218.247131607146,0.4395516228007761
FEDXA07,1.0,M,NR,128.9929799574409,0.3354061902406169
FEDXA08,1.0,M,GRAIN,47.13957284263792,0.23192761992547406
FEDXA08,1.0,M,PR,116.57896548211677,0.31763356539393506
FEDXA08,1.0,M,NR,87.19093276011186,0.24817943044543167
FEDXA09,1.0,M,GRAIN,131.55776451492653,0.43058151990629234
FEDXA09,1.0,M,PR,284.71022442503477,0.4555221895342318
FEDXA09,1.0,M,NR,163.10282462294987,0.37589983131547244
FEDXA10,1.0,M,GRAIN,45.72534514376941,0.25093501309148136
FEDXA10,1.0,M,PR,161.22326812832458,0.3519249237270954
FEDXA10,1.0,M,NR,192.0716831956751,0.38671384795245967
FEDXA11,1.0,M,GRAIN,54.86241697651059,0.24932398467778882
FEDXA11,1.0,M,PR,83.46624866318533,0.2533049494867109
FEDXA11,1.0,M,NR,233.8066198721014,0.40865378195510504
FEDXA12,1.0,M,GRAIN,76.21912047346088,0.32656244801705747
FEDXA12,1.0,M,PR,242.2853813563965,0.37871632637905606
FEDXA12,1.0,M,NR,290.30760700097306,0.45848128790636117
FEDXB01,2.0,F,GRAIN,42.08281929870945,0.22291186260929852
FEDXB01,2.0,F,PR,399.69350785914804,0.5947660562154309
FEDXB01,2.0,F,NR,360.76082061968606,0.5520087143696397
FEDXB02,2.0,F,GRAIN,115.4404169747149,0.4128781708832512
FEDXB02,2.0,F,PR,87.44967681189135,0.2550903252174588
FEDXB02,2.0,F,NR,170.52941481729147,0.396928269932882
FEDXB03,2.0,F,GRAIN,91.48064979285006,0.3997159359922684
FEDXB03,2.0,F,PR,514.3089513144496,0.6056240297583675
FEDXB03,2.0,F,NR,394.9979983468336,0.5483327394247826
FEDXB04,2.0,F,GRAIN,71.22050527883223,0.3554260917431393
FEDXB04,2.0,F,PR,482.13829769770086,0.6179443051301692
FEDXB04,2.0,F,NR,142.4071704614032,0.3260613056581099
FEDXB05,2.0,F,GRAIN,86.13906972325891,0.34797384942671394
FEDXB05,2.0,F,PR,420.9519454573304,0.5534127637649464
FEDXB05,2.0,F,NR,301.27629223006875,0.49281557081164307
FEDXB06,2.0,F,GRAIN,49.951581228876826,0.2572705308698162
FEDXB06,2.0,F,PR,467.6981196565834,0.5969203734937198
FEDXB06,2.0,F,NR,166.11063700458186,0.3137431634191792
FEDXB07,1.0,F,GRAIN,53.94677018742639,0.21710698824385055
FEDXB07,1.0,F,PR,349.19929561715145,0.44412302018844096
FEDXB07,1.0,F,NR,170.95050558211364,0.3438556915343791
FEDXB08,1.0,F,GRAIN,25.038261949317988,0.18416711192436708
FEDXB08,1.0,F,PR,125.8365695184845,0.3049216261781773
FEDXB08,1.0,F,NR,85.60040506536505,0.2792869420319368
FEDXB10,1.0,F,GRAIN,122.63108611160862,0.4124695900232742
FEDXB10,1.0,F,PR,594.4893131696111,0.6351969005703357
FEDXB10,1.0,F,NR,344.32858224100994,0.5002984213257652
FEDXB11,1.0,F,GRAIN,73.42319272643962,0.3274691332923356
FEDXB11,1.0,F,PR,547.4471659017549,0.68796659120431
FEDXB11,1.0,F,NR,594.4928585376388,0.6776924828030846
FEDXB12,1.0,F,GRAIN,23.140579612253767,0.14956231686282662
FEDXB12,1.0,F,PR,77.80413918748299,0.23131192344441381
FEDXB12,1.0,F,NR,60.52797106623662,0.210733001659132
