Mouse ID,Order,Sex,Day,NR Protein Intake (g),PR Protein Intake (g)
FEDXB06,2.0,F,7,1.0979999999999999,0.168
FEDXB07,1.0,F,1,0.7452,0.147
FEDXB07,1.0,F,2,0.6839999999999999,0.219
FEDXB07,1.0,F,3,0.7776,0.265
FEDXB07,1.0,F,4,0.7056,0.255
FEDXB07,1.0,F,5,0.8064,0.28800000000000003
FEDXB07,1.0,F,6,0.756,0.28500000000000003
FEDXB07,1.0,F,7,0.6839999999999999,0.291
FEDXB08,1.0,F,1,0.6408,0.149
FEDXB08,1.0,F,2,0.6587999999999999,0.21
FEDXB08,1.0,F,3,0.6912,0.176
FEDXB08,1.0,F,4,0.6228,0.17500000000000002
FEDXB08,1.0,F,5,0.6192,0.182
FEDXB08,1.0,F,6,0.7595999999999999,0.219
FEDXB08,1.0,F,7,0.6516,0.188
FEDXB10,1.0,F,1,0.5904,0.212
FEDXB10,1.0,F,2,0.6372,0.27
FEDXB10,1.0,F,3,0.8136,0.241
FEDXB10,1.0,F,4,0.7632,0.192
FEDXB10,1.0,F,5,0.846,0.17200000000000001
FEDXB10,1.0,F,6,0.846,0.221
FEDXB10,1.0,F,7,0.8099999999999999,0.242
FEDXB11,1.0,F,1,0.576,0.14300000000000002
FEDXB11,1.0,F,2,0.594,0.187
FEDXB11,1.0,F,3,0.6408,0.129
FEDXB11,1.0,F,4,0.666,0.137
FEDXB11,1.0,F,5,0.7236,0.14
FEDXB11,1.0,F,6,0.6839999999999999,0.177
FEDXB11,1.0,F,7,0.6156,0.183
FEDXB12,1.0,F,1,0.6156,0.153
FEDXB12,1.0,F,2,0.6948,0.194
FEDXB12,1.0,F,3,0.6552,0.177
FEDXB12,1.0,F,4,0.6624,0.176
FEDXB12,1.0,F,5,0.7919999999999999,0.184
FEDXB12,1.0,F,6,0.6804,0.224
FEDXB12,1.0,F,7,0.6264,0.201
