MouseID,Count_1,Count_2,Count_3,Count_4,Count_5,Count_6,Count_7,Count_8,Count_9,Count_10
FEDXA07,45,31,48,67,58,30,18,10,6,6
FEDXA08,86,61,59,56,28,17,18,10,7,15
FEDXA09,62,33,80,58,57,25,13,12,3,7
FEDXA10,68,47,61,70,62,28,19,8,6,6
FEDXA11,163,89,55,49,42,20,14,10,8,8
FEDXA12,144,74,73,69,52,25,12,7,3,6
