"","num Df","den Df","MSE","F","ges","Pr(>F)"
"Sex",1,19,0.289412002902315,0.0220681934915627,0.000342241637789739,0.883471153793669
"Order",1,19,0.289412002902315,0.0683260982797414,0.00105886657499615,0.796602255806643
"Sex:Order",1,19,0.289412002902315,1.77506662848435,0.02679980103614,0.198516642086112
"time_phase",5.84261523517985,111.009689468417,0.118516266133571,4.94745789649062,0.155147997591681,0.000184057964597561
"Sex:time_phase",5.84261523517985,111.009689468417,0.118516266133571,0.59961825689774,0.0217720020354433,0.725768566835026
"Order:time_phase",5.84261523517985,111.009689468417,0.118516266133571,2.01017497093699,0.0694328524693439,0.0719711642654007
"Sex:Order:time_phase",5.84261523517985,111.009689468417,0.118516266133571,1.62511897149764,0.056889383072871,0.148625343584525
