"1.NR","2.NR","1.PR","Comparison"
0.0662928593138793,NA,NA,"2.NR"
0.952243881712545,0.131522161974972,NA,"1.PR"
0.865666153667698,0.451277570220532,0.952243881712545,"2.PR"
