"","1.NR","2.NR","1.PR","Comparison"
"2.NR",0.586095785734184,NA,NA,"2.NR"
"1.PR",0.586095785734184,0.253930704710604,NA,"1.PR"
"2.PR",0.00100259795998519,0.000100743946732806,0.0187841458930009,"2.PR"
