"","1.NR","2.NR","1.PR","Comparison"
"2.NR",0.516255679189596,NA,NA,"2.NR"
"1.PR",0.516255679189596,0.107175113966365,NA,"1.PR"
"2.PR",0.0101594764448449,0.000304663759994127,0.120056421953695,"2.PR"
