"","order","Diet_Phase","mean_total_parameters","sd_total_parameters","count"
"1",1,"NR",2.98654638346281,0.237205902029978,11
"2",1,"PR",2.8974344008506,0.238281523617921,11
"3",2,"NR",3.07207964658389,0.116697601892692,12
"4",2,"PR",2.73616218123541,0.102498833885384,12
