"","Factor","Sum.Sq","Df","F.value","Pr..F."
"sex","sex",0.0741750899237683,1,2.15868237795036,0.149997112804888
"order","order",0.0134068625800166,1,0.390173547815412,0.535940967388891
"Diet_Phase","Diet_Phase",0.545924789088569,1,15.887789594902,0.000294405796307346
"sex:order","sex:order",0.00151905923392293,1,0.0442084586982272,0.834589601002879
"sex:Diet_Phase","sex:Diet_Phase",0.0143563506406064,1,0.417806047439962,0.521918830551543
"order:Diet_Phase","order:Diet_Phase",0.179011474275728,1,5.20968583074281,0.0281466925750683
"sex:order:Diet_Phase","sex:order:Diet_Phase",3.58529955610809e-05,1,0.00104341268468942,0.974400366928986
"Residuals","Residuals",1.30572864535053,38,NA,NA
