MM:DD:YYYY hh:mm:ss,Temp,Humidity,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/18/2023 11:06:59,21.84,67.83,1.16.3,FR1,16,3.89,nan,1,Right,Left,0,1,0,0,nan,nan,21.91
4/18/2023 11:09:15,21.90,67.63,1.16.3,FR1,16,3.89,nan,1,Right,Left,0,2,0,0,nan,nan,0.02
4/18/2023 11:12:08,21.92,67.48,1.16.3,FR1,16,3.89,nan,1,Left,Left,1,2,0,0,nan,nan,0.17
4/18/2023 11:12:10,21.94,67.49,1.16.3,FR1,16,3.89,2,1,Pellet,Left,1,2,1,0,1.15,nan,nan
4/18/2023 11:18:27,21.96,67.38,1.16.3,FR1,16,3.89,nan,1,Right,Left,1,3,1,0,nan,nan,0.09
4/18/2023 11:20:24,21.99,67.30,1.16.3,FR1,16,3.89,nan,1,Right,Left,1,4,1,0,nan,nan,0.15
4/18/2023 11:21:46,21.99,67.30,1.16.3,FR1,16,3.89,nan,1,Left,Left,2,4,1,0,nan,nan,0.24
4/18/2023 11:21:47,22.00,67.27,1.16.3,FR1,16,3.89,2,1,Pellet,Left,2,4,2,0,0.20,577,nan
4/18/2023 11:23:47,22.01,67.24,1.16.3,FR1,16,3.89,nan,1,Left,Left,3,4,2,0,nan,nan,0.00
4/18/2023 11:29:20,22.03,67.15,1.16.3,FR1,16,3.89,1,1,Pellet,Left,3,4,3,0,Timed_out,453,nan
4/18/2023 11:32:04,22.03,67.18,1.16.3,FR1,16,3.89,nan,1,Left,Left,4,4,3,0,nan,nan,0.39
4/18/2023 11:33:50,22.05,67.17,1.16.3,FR1,16,3.89,nan,1,LeftWithPellet,Left,5,4,3,0,nan,nan,0.07
4/18/2023 11:33:51,22.05,67.14,1.16.3,FR1,16,3.89,1,1,Pellet,Left,5,4,4,0,Timed_out,271,nan
4/18/2023 11:35:03,22.07,67.06,1.16.3,FR1,16,3.89,nan,1,Right,Left,5,5,4,0,nan,nan,0.29
4/18/2023 11:35:12,22.05,67.03,1.16.3,FR1,16,3.89,nan,1,Left,Left,6,5,4,0,nan,nan,0.12
4/18/2023 11:44:33,22.06,66.46,1.16.3,FR1,16,3.88,1,1,Pellet,Left,6,5,5,0,Timed_out,642,nan
4/18/2023 11:47:05,22.06,66.40,1.16.3,FR1,16,3.89,nan,1,Left,Left,7,5,5,0,nan,nan,0.05
4/18/2023 11:47:13,22.07,66.40,1.16.3,FR1,16,3.88,nan,1,LeftWithPellet,Left,8,5,5,0,nan,nan,0.67
4/18/2023 11:47:14,22.06,66.39,1.16.3,FR1,16,3.89,1,1,Pellet,Left,8,5,6,0,8.19,161,nan
4/18/2023 11:51:41,22.06,66.36,1.16.3,FR1,16,3.89,nan,1,Right,Left,8,6,6,0,nan,nan,0.17
4/18/2023 11:53:52,22.05,66.33,1.16.3,FR1,16,3.88,nan,1,Left,Left,9,6,6,0,nan,nan,0.16
4/18/2023 11:56:56,22.08,66.23,1.16.3,FR1,16,3.89,nan,1,LeftWithPellet,Left,10,6,6,0,nan,nan,0.11
4/18/2023 11:57:52,22.06,66.24,1.16.3,FR1,16,3.89,1,1,Pellet,Left,10,6,7,0,Timed_out,638,nan
4/18/2023 12:06:09,22.03,66.17,1.16.3,FR1,16,3.89,nan,1,Left,Left,11,6,7,0,nan,nan,0.08
4/18/2023 12:10:09,22.03,66.13,1.16.3,FR1,16,3.89,nan,1,LeftWithPellet,Left,12,6,7,0,nan,nan,0.15
4/18/2023 12:10:10,22.04,66.10,1.16.3,FR1,16,3.89,1,1,Pellet,Left,12,6,8,0,Timed_out,738,nan
4/18/2023 12:19:09,22.02,66.50,1.16.3,FR1,16,3.88,nan,1,Left,Left,13,6,8,0,nan,nan,0.08
4/18/2023 12:19:21,22.01,66.53,1.16.3,FR1,16,3.89,1,1,Pellet,Left,13,6,9,0,10.38,551,nan
4/18/2023 12:24:09,21.99,66.63,1.16.3,FR1,16,3.88,nan,1,Left,Left,14,6,9,0,nan,nan,0.00
4/18/2023 12:24:12,21.98,66.63,1.16.3,FR1,16,3.89,1,1,Pellet,Left,14,6,10,0,2.25,291,nan
4/18/2023 12:40:11,21.94,66.31,1.16.3,FR1,16,3.88,nan,1,Left,Left,15,6,10,0,nan,nan,0.16
4/18/2023 12:40:14,21.94,66.29,1.16.3,FR1,16,3.89,1,1,Pellet,Left,15,6,11,0,1.97,962,nan
4/18/2023 13:01:01,21.92,66.45,1.16.3,FR1,16,3.89,nan,1,Left,Left,16,6,11,0,nan,nan,0.39
4/18/2023 13:01:02,21.92,66.45,1.16.3,FR1,16,3.89,1,1,Pellet,Left,16,6,12,0,0.20,1248,nan
4/18/2023 15:48:33,21.81,67.19,1.16.3,FR1,16,3.88,nan,1,Left,Left,17,6,12,0,nan,nan,0.82
4/18/2023 15:48:34,21.81,67.17,1.16.3,FR1,16,3.88,1,1,Pellet,Left,17,6,13,0,0.54,10052,nan
4/18/2023 15:49:36,21.83,67.16,1.16.3,FR1,16,3.88,nan,1,Left,Left,18,6,13,0,nan,nan,0.30
4/18/2023 15:49:38,21.81,67.17,1.16.3,FR1,16,3.88,1,1,Pellet,Left,18,6,14,0,0.81,64,nan
4/18/2023 15:50:08,21.82,67.17,1.16.3,FR1,16,3.88,nan,1,Left,Left,19,6,14,0,nan,nan,0.00
4/18/2023 15:50:11,21.82,67.15,1.16.3,FR1,16,3.88,1,1,Pellet,Left,19,6,15,0,2.25,33,nan
4/18/2023 16:17:40,21.84,67.14,1.16.3,FR1,16,3.87,nan,1,Left,Left,20,6,15,0,nan,nan,0.20
4/18/2023 16:17:41,21.85,67.12,1.16.3,FR1,16,3.88,1,1,Pellet,Left,20,6,16,0,0.75,1650,nan
4/18/2023 18:17:24,21.86,67.47,1.16.3,FR1,16,3.87,nan,1,Left,Left,21,6,16,0,nan,nan,0.06
4/18/2023 18:17:42,21.87,67.50,1.16.3,FR1,16,3.87,2,1,Pellet,Left,21,6,17,0,16.14,7200,nan
4/18/2023 18:18:48,21.88,67.48,1.16.3,FR1,16,3.87,nan,1,Left,Left,22,6,17,0,nan,nan,0.49
4/18/2023 18:18:49,21.88,67.48,1.16.3,FR1,16,3.87,1,1,Pellet,Left,22,6,18,0,0.34,68,nan
4/18/2023 19:04:16,21.90,67.84,1.16.3,FR1,16,3.87,nan,1,Left,Left,23,6,18,0,nan,nan,0.13
4/18/2023 19:04:17,21.92,67.86,1.16.3,FR1,16,3.87,nan,1,LeftDuringDispense,Left,24,6,18,0,nan,nan,0.13
4/18/2023 19:04:21,21.89,67.82,1.16.3,FR1,16,3.87,2,1,Pellet,Left,24,6,19,0,0.81,2732,nan
4/18/2023 19:14:02,21.90,67.88,1.16.3,FR1,16,3.87,nan,1,Left,Left,25,6,19,0,nan,nan,0.20
4/18/2023 19:14:05,21.90,67.91,1.16.3,FR1,16,3.87,2,1,Pellet,Left,25,6,20,0,1.02,584,nan
4/18/2023 19:23:26,21.90,67.92,1.16.3,FR1,16,3.87,nan,1,Left,Left,26,6,20,0,nan,nan,0.12
4/18/2023 19:23:53,21.93,67.93,1.16.3,FR1,16,3.87,1,1,Pellet,Left,26,6,21,0,26.86,588,nan
4/18/2023 19:52:21,21.94,67.91,1.16.3,FR1,16,3.87,nan,1,Left,Left,27,6,21,0,nan,nan,0.24
4/18/2023 19:52:22,21.94,67.89,1.16.3,FR1,16,3.87,1,1,Pellet,Left,27,6,22,0,0.20,1709,nan
4/18/2023 19:52:33,21.94,67.89,1.16.3,FR1,16,3.87,nan,1,Left,Left,28,6,22,0,nan,nan,0.25
