"","time_phase","Order","mean_value","sd_value","n"
"1","NR0",1,12.3636363636364,9.4791637529133,11
"2","NR0",2,13.75,5.1895874770369,12
"3","NR1",1,14.6363636363636,16.10138333978,11
"4","NR1",2,15.4166666666667,5.3335700705034,12
"5","NR2",1,16.7272727272727,14.4505426132786,11
"6","NR2",2,12.0833333333333,3.98767039153378,12
"7","NR3",1,16.6363636363636,15.6924996560314,11
"8","NR3",2,11.3333333333333,5.19323569364004,12
"9","NR4",1,15.2727272727273,11.7054765737317,11
"10","NR4",2,12.8333333333333,5.3907890016774,12
"11","NR5",1,17.0909090909091,14.067370368726,11
"12","NR5",2,11.75,6.21032864011091,12
"13","NR6",1,13.9090909090909,10.6250133689755,11
"14","NR6",2,10.6666666666667,5.19323569364004,12
"15","PR0",1,14.9090909090909,11.1575494213967,11
"16","PR0",2,23.8333333333333,8.45128643605472,12
"17","PR1",1,18.9090909090909,17.2768894506769,11
"18","PR1",2,36.25,13.4510898510797,12
"19","PR2",1,19.6363636363636,11.9605411856883,11
"20","PR2",2,39.25,12.5127207999772,12
"21","PR3",1,20.9090909090909,12.628971022649,11
"22","PR3",2,37.5,11.5325625946708,12
"23","PR4",1,20.2727272727273,13.0544315011486,11
"24","PR4",2,33.0833333333333,11.9579439805689,12
"25","PR5",1,19.7272727272727,13.0314305361377,11
"26","PR5",2,26.3333333333333,9.89337090575239,12
"27","PR6",1,19.4545454545455,16.741347833216,11
"28","PR6",2,22.1666666666667,6.37941766127361,12
