"contrast","estimate","SE","df","t.ratio","p.value"
"NR0 Order1 - PR0 Order1",-4.27272727272727,5.09693842612312,21,-0.838292895756489,1
"NR0 Order1 - PR1 Order1",-10.1818181818182,4.63111209812299,21,-2.19856871656053,0.353299509421665
"NR0 Order1 - PR2 Order1",-11.8181818181818,4.23871204316377,21,-2.78815397173353,0.143237461002251
"NR0 Order1 - PR3 Order1",-8,4.20724826352545,21,-1.90148037361038,0.568388365037749
"NR0 Order1 - PR4 Order1",-6.36363636363638,4.08312551174235,21,-1.55852087949187,0.938375321413013
"NR0 Order1 - PR5 Order1",-10.1818181818182,4.16673750431717,21,-2.44359481999257,0.258053657798398
"NR0 Order1 - PR6 Order1",-10.7272727272727,4.50869697576334,21,-2.37924011858361,0.269098971138571
"NR0 Order1 - NR1 Order1",-2.54545454545455,3.12438896033172,21,-0.814704755961081,1
"NR0 Order1 - NR2 Order1",-8.18181818181818,2.95832259394651,21,-2.76569505927457,0.143237461002251
"NR0 Order1 - NR3 Order1",-2.18181818181818,3.10120515858839,21,-0.703538808380966,1
"NR0 Order1 - NR4 Order1",-3.54545454545455,3.57660584992892,21,-0.99129026071604,1
"NR0 Order1 - NR5 Order1",-1.54545454545456,3.46137871299558,21,-0.446485251571064,1
"NR0 Order1 - NR6 Order1",0.454545454545451,2.77406350126753,21,0.163855461253053,1
