"Order","phase","day","n","mean","sd"
"1","NR","0",11,29.6363636363636,8.28580385083701
"1","NR","1",11,32.1818181818182,8.73862897505303
"1","NR","2",11,37.8181818181818,11.2678141786079
"1","NR","3",11,31.8181818181818,11.1338958304646
"1","NR","4",11,33.1818181818182,12.3597587502199
"1","NR","5",11,31.1818181818182,12.5603995304145
"1","NR","6",11,29.1818181818182,14.19731088494
"1","PR","0",11,33.9090909090909,10.8577580140151
"1","PR","1",11,39.8181818181818,19.0516045613916
"1","PR","2",11,41.4545454545455,17.0491268771374
"1","PR","3",11,37.6363636363636,16.782566712352
"1","PR","4",11,36,12.2637677734047
"1","PR","5",11,39.8181818181818,15.8796610909565
"1","PR","6",11,40.3636363636364,15.8067879550067
"2","NR","0",12,36.0833333333333,15.5004887508476
"2","NR","1",12,37.3333333333333,15.0956546025268
"2","NR","2",12,37.0833333333333,11.2932669669976
"2","NR","3",12,32.0833333333333,12.9857147619524
"2","NR","4",12,29.3333333333333,9.67971950507708
"2","NR","5",12,35.6666666666667,13.3234812085713
"2","NR","6",12,28.5,11.9962115231889
"2","PR","0",12,36,9.79795897113271
"2","PR","1",12,40.75,5.94099777356081
"2","PR","2",12,53.4166666666667,10.8078955426395
"2","PR","3",12,50.5,10.1399300696889
"2","PR","4",12,51.4166666666667,11.7895048344884
"2","PR","5",12,53.1666666666667,11.2155195505103
"2","PR","6",12,47.25,13.8572265360976
