"","Sex","Order","Phase","Mean","SD","Min","Max"
"1","F","1","NR",0.720411428571429,0.130078402731364,0.563657142857143,0.9
"2","F","1","PR",0.193142857142857,0.0137792360796517,0.178571428571429,0.210571428571429
"3","F","2","NR",0.741514285714286,0.1043528253727,0.613028571428571,0.931885714285714
"4","F","2","PR",0.195119047619048,0.0111488689521209,0.180428571428571,0.208714285714286
"5","M","1","NR",0.688285714285714,0.0955933427790527,0.548742857142857,0.833142857142857
"6","M","1","PR",0.190428571428571,0.00745051703451732,0.182857142857143,0.199714285714286
"7","M","2","NR",0.831257142857143,0.12663784906704,0.669085714285714,1.01365714285714
"8","M","2","PR",0.209857142857143,0.0134300910994221,0.194571428571429,0.229285714285714
