"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"Sex          ",1,0.0229093624844718,0.0229093624844718,2.07001693651785,0.151395443282459
"Order        ",1,0.184957155328799,0.184957155328799,16.7121387301932,5.76639530639915e-05
"Day          ",13,0.781236593416152,0.0600951225704732,5.43000363311349,1.05619553612478e-08
"Sex:Order    ",1,0.097051638861676,0.097051638861676,8.76927659146581,0.00334016071177075
"Sex:Day      ",13,0.152289312298135,0.011714562484472,1.05849050855038,0.395942275132916
"Order:Day    ",13,24.37972745483,1.87536365037154,169.451878943829,2.07118983246431e-120
"Sex:Order:Day",13,0.176728221646261,0.0135944785881739,1.22835373265945,0.258695001542031
"Residuals    ",266,2.94388432933333,0.011067234320802,NA,NA
