"diff","lwr","upr","p adj","comparison"
0.4996,0.250803712090687,0.748396287909314,1.41454625790516e-11,"M:1:10-F:2:6"
-0.0268333333333335,-0.275629621242647,0.22196295457598,1,"F:2:10-F:2:6"
0.0450000000000003,-0.203796287909313,0.293796287909314,1,"M:2:10-F:2:6"
-0.0450000000000002,-0.305939748151177,0.215939748151177,1,"F:1:11-F:2:6"
-0.0410000000000004,-0.289796287909314,0.207796287909313,1,"M:1:11-F:2:6"
0.545200000000001,0.296403712090687,0.793996287909314,8.06577027390176e-13,"F:2:11-F:2:6"
0.745600000000001,0.496803712090688,0.994396287909315,2.2815083156047e-13,"M:2:11-F:2:6"
-0.0394000000000006,-0.300339748151177,0.221539748151176,1,"F:1:12-F:2:6"
-0.0333333333333333,-0.282129621242647,0.21546295457598,1,"M:1:12-F:2:6"
0.6358,0.387003712090687,0.884596287909314,7.16204873185688e-13,"F:2:12-F:2:6"
0.6748,0.426003712090687,0.923596287909314,4.95714580495132e-13,"M:2:12-F:2:6"
-0.0222000000000002,-0.283139748151177,0.238739748151177,1,"F:1:13-F:2:6"
-0.0261666666666669,-0.274962954575981,0.222629621242647,1,"M:1:13-F:2:6"
0.502600000000001,0.253803712090687,0.751396287909315,1.04273256695819e-11,"F:2:13-F:2:6"
0.603400000000001,0.354603712090687,0.852196287909315,7.26640969617165e-13,"M:2:13-F:2:6"
-0.0310000000000002,-0.291939748151177,0.229939748151177,1,"F:1:14-F:2:6"
-0.0330000000000003,-0.281796287909314,0.215796287909314,1,"M:1:14-F:2:6"
0.445000000000001,0.196203712090687,0.693796287909314,4.32935431948778e-09,"F:2:14-F:2:6"
0.5902,0.341403712090687,0.838996287909314,7.2641892501224e-13,"M:2:14-F:2:6"
-0.0106000000000001,-0.271539748151177,0.250339748151177,1,"F:1:15-F:2:6"
-0.0316666666666667,-0.28046295457598,0.217129621242647,1,"M:1:15-F:2:6"
0.388000000000001,0.139203712090687,0.636796287909315,1.12304268184982e-06,"F:2:15-F:2:6"
0.585400000000001,0.336603712090687,0.834196287909314,7.58837437331294e-13,"M:2:15-F:2:6"
-0.0139999999999998,-0.274939748151177,0.246939748151177,1,"F:1:16-F:2:6"
-0.0235000000000001,-0.272296287909314,0.225296287909314,1,"M:1:16-F:2:6"
0.5692,0.320403712090687,0.817996287909314,7.53286322208169e-13,"F:2:16-F:2:6"
0.544000000000001,0.295203712090687,0.792796287909315,8.30335800117155e-13,"M:2:16-F:2:6"
-0.0328000000000003,-0.293739748151177,0.228139748151176,1,"F:1:17-F:2:6"
-0.025333333333334,-0.274129621242648,0.22346295457598,1,"M:1:17-F:2:6"
0.557800000000001,0.309003712090687,0.806596287909314,7.45736805640718e-13,"F:2:17-F:2:6"
0.528400000000001,0.279603712090687,0.777196287909314,1.29474209131786e-12,"M:2:17-F:2:6"
0.4862,0.225260251848823,0.747139748151177,6.35268837534397e-10,"F:1:7-M:2:6"
0.5516,0.302803712090686,0.800396287909314,7.86370968341998e-13,"M:1:7-M:2:6"
0.014666666666666,-0.234129621242648,0.26346295457598,1,"F:2:7-M:2:6"
0.0196666666666666,-0.229129621242647,0.26846295457598,1,"M:2:7-M:2:6"
0.508520000000001,0.247580251848824,0.769459748151178,6.70598021557112e-11,"F:1:8-M:2:6"
