Mouse ID,Sex,Order,Day,Protein Intake (g)
FEDXA10,M,1.0,3,0.91164
FEDXA10,M,1.0,4,0.5508
FEDXA10,M,1.0,5,0.576
FEDXA10,M,1.0,6,0.6948
FEDXA10,M,1.0,7,0.6732
FEDXA10,M,1.0,8,0.6912
FEDXA10,M,1.0,9,0.6804
FEDXA10,M,1.0,10,0.72
FEDXA10,M,1.0,11,0.171
FEDXA10,M,1.0,12,0.2
FEDXA10,M,1.0,13,0.214
FEDXA10,M,1.0,14,0.20500000000000002
FEDXA10,M,1.0,15,0.20800000000000002
FEDXA10,M,1.0,16,0.20700000000000002
FEDXA10,M,1.0,17,0.187
FEDXA11,M,1.0,1,1.30782
FEDXA11,M,1.0,2,1.06074
FEDXA11,M,1.0,3,0.96276
FEDXA11,M,1.0,4,0.5364
FEDXA11,M,1.0,5,0.3024
FEDXA11,M,1.0,6,0.7595999999999999
FEDXA11,M,1.0,7,0.8423999999999999
FEDXA11,M,1.0,8,0.8099999999999999
FEDXA11,M,1.0,9,0.9036
FEDXA11,M,1.0,10,0.8316
FEDXA11,M,1.0,11,0.20400000000000001
FEDXA11,M,1.0,12,0.164
FEDXA11,M,1.0,13,0.197
FEDXA11,M,1.0,14,0.20800000000000002
FEDXA11,M,1.0,15,0.195
FEDXA11,M,1.0,16,0.183
FEDXA11,M,1.0,17,0.188
FEDXA12,M,1.0,1,1.00962
FEDXA12,M,1.0,2,0.85626
FEDXA12,M,1.0,3,0.95424
FEDXA12,M,1.0,4,0.6083999999999999
FEDXA12,M,1.0,5,0.8603999999999999
FEDXA12,M,1.0,6,0.9252
FEDXA12,M,1.0,7,0.9396
FEDXA12,M,1.0,8,0.8784
FEDXA12,M,1.0,9,0.7812
FEDXA12,M,1.0,10,0.8388
FEDXA12,M,1.0,11,0.197
FEDXA12,M,1.0,12,0.198
FEDXA12,M,1.0,13,0.191
FEDXA12,M,1.0,14,0.188
FEDXA12,M,1.0,15,0.192
FEDXA12,M,1.0,16,0.215
FEDXA12,M,1.0,17,0.217
FEDXB01,F,2.0,1,0.87756
FEDXB01,F,2.0,2,1.20132
FEDXB01,F,2.0,3,1.0692599999999999
FEDXB01,F,2.0,4,0.098
FEDXB01,F,2.0,5,0.154
FEDXB01,F,2.0,6,0.219
FEDXB01,F,2.0,7,0.232
FEDXB01,F,2.0,8,0.244
FEDXB01,F,2.0,9,0.255
FEDXB01,F,2.0,10,0.185
FEDXB01,F,2.0,11,0.882
FEDXB01,F,2.0,12,0.7704
FEDXB01,F,2.0,13,0.6048
FEDXB01,F,2.0,14,0.5688
FEDXB01,F,2.0,15,0.5327999999999999
FEDXB01,F,2.0,16,0.774
FEDXB01,F,2.0,17,0.7956
FEDXB02,F,2.0,1,0.98832
FEDXB02,F,2.0,2,0.99258
FEDXB02,F,2.0,3,0.7881
FEDXB02,F,2.0,4,0.213
FEDXB02,F,2.0,5,0.232
FEDXB02,F,2.0,6,0.272
FEDXB02,F,2.0,7,0.15
FEDXB02,F,2.0,8,0.185
FEDXB02,F,2.0,9,0.192
FEDXB02,F,2.0,10,0.167
FEDXB02,F,2.0,11,0.6624
FEDXB02,F,2.0,12,0.7163999999999999
FEDXB02,F,2.0,13,0.5508
FEDXB02,F,2.0,14,0.5327999999999999
FEDXB02,F,2.0,15,0.4248
FEDXB02,F,2.0,16,0.6912
FEDXB02,F,2.0,17,0.7128
FEDXB03,F,2.0,1,0.36636
FEDXB03,F,2.0,2,1.0010999999999999
FEDXB03,F,2.0,3,0.84348
FEDXB03,F,2.0,4,0.131
FEDXB03,F,2.0,5,0.145
FEDXB03,F,2.0,6,0.22
FEDXB03,F,2.0,7,0.22
FEDXB03,F,2.0,8,0.254
FEDXB03,F,2.0,9,0.28400000000000003
FEDXB03,F,2.0,10,0.20700000000000002
FEDXB03,F,2.0,11,0.864
FEDXB03,F,2.0,12,0.8603999999999999
FEDXB03,F,2.0,13,0.8351999999999999
FEDXB03,F,2.0,14,0.6768
FEDXB03,F,2.0,15,0.6552
FEDXB03,F,2.0,16,0.6048
FEDXB03,F,2.0,17,0.6228
FEDXB04,F,2.0,1,0.66882
FEDXB04,F,2.0,2,0.77532
FEDXB04,F,2.0,3,0.82644
FEDXB04,F,2.0,4,0.097
FEDXB04,F,2.0,5,0.156
FEDXB04,F,2.0,6,0.2
FEDXB04,F,2.0,7,0.197
FEDXB04,F,2.0,8,0.191
FEDXB04,F,2.0,9,0.20600000000000002
FEDXB04,F,2.0,10,0.216
FEDXB04,F,2.0,11,0.8388
FEDXB04,F,2.0,12,0.882
FEDXB04,F,2.0,13,0.7415999999999999
FEDXB04,F,2.0,14,0.6839999999999999
FEDXB04,F,2.0,15,0.5904
FEDXB04,F,2.0,16,0.7163999999999999
FEDXB04,F,2.0,17,0.6408
FEDXB05,F,2.0,1,1.28226
FEDXB05,F,2.0,2,0.8946
FEDXB05,F,2.0,3,0.74976
FEDXB05,F,2.0,4,0.155
FEDXB05,F,2.0,5,0.158
FEDXB05,F,2.0,6,0.203
FEDXB05,F,2.0,7,0.203
FEDXB05,F,2.0,8,0.203
FEDXB05,F,2.0,9,0.25
FEDXB05,F,2.0,10,0.222
FEDXB05,F,2.0,11,0.8532
FEDXB05,F,2.0,12,0.7847999999999999
FEDXB05,F,2.0,13,0.756
FEDXB05,F,2.0,14,0.6732
FEDXB05,F,2.0,15,0.5688
FEDXB05,F,2.0,16,0.7488
FEDXB05,F,2.0,17,0.8028
FEDXB06,F,2.0,1,1.4271
FEDXB06,F,2.0,2,0.84348
FEDXB06,F,2.0,3,0.96276
FEDXB06,F,2.0,4,0.134
FEDXB06,F,2.0,5,0.138
FEDXB06,F,2.0,6,0.212
FEDXB06,F,2.0,7,0.20800000000000002
FEDXB06,F,2.0,8,0.216
FEDXB06,F,2.0,9,0.203
FEDXB06,F,2.0,10,0.168
FEDXB06,F,2.0,11,0.49679999999999996
FEDXB06,F,2.0,12,1.1268
FEDXB06,F,2.0,13,0.8532
FEDXB06,F,2.0,14,0.8603999999999999
FEDXB06,F,2.0,15,0.882
FEDXB06,F,2.0,16,1.206
FEDXB06,F,2.0,17,1.0979999999999999
FEDXB07,F,1.0,1,1.278
FEDXB07,F,1.0,2,0.87756
FEDXB07,F,1.0,3,1.09482
FEDXB07,F,1.0,4,0.5292
FEDXB07,F,1.0,5,0.7884
FEDXB07,F,1.0,6,0.954
FEDXB07,F,1.0,7,0.9179999999999999
FEDXB07,F,1.0,8,1.0368
FEDXB07,F,1.0,9,1.026
FEDXB07,F,1.0,10,1.0475999999999999
FEDXB07,F,1.0,11,0.20700000000000002
FEDXB07,F,1.0,12,0.19
FEDXB07,F,1.0,13,0.216
FEDXB07,F,1.0,14,0.196
FEDXB07,F,1.0,15,0.224
FEDXB07,F,1.0,16,0.21
FEDXB07,F,1.0,17,0.19
FEDXB08,F,1.0,1,0.68586
FEDXB08,F,1.0,2,1.065
FEDXB08,F,1.0,3,0.7454999999999999
FEDXB08,F,1.0,4,0.5364
FEDXB08,F,1.0,5,0.756
FEDXB08,F,1.0,6,0.6335999999999999
