"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"hour       ",23,3706.70053854875,161.160892980381,43.0396752912292,3.37667648924572e-47
"Residuals  ",120,449.336734693877,3.74447278911564,NA,NA
