"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"hour       ",23,2489.15816326531,108.224267968057,34.0062360739685,6.34761184344944e-42
"Residuals  ",120,381.897959183674,3.18248299319728,NA,NA
