"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"hour       ",23,3676.72774943311,159.857728236222,20.6139114670216,2.07200250311736e-31
"Residuals  ",120,930.581632653061,7.75484693877551,NA,NA
