"","time_phase","Order","mean_value","sd_value","n"
"1","NR0",1,178.181818181818,16.7977271189776,11
"2","NR0",2,240.666666666667,52.3143181049689,12
"3","NR1",1,184.909090909091,15.0363196657596,11
"4","NR1",2,243.416666666667,49.6395339757872,12
"5","NR2",1,196.636363636364,16.9544845234099,11
"6","NR2",2,215,36.4117863035883,12
"7","NR3",1,188.909090909091,15.6170070465153,11
"8","NR3",2,205.166666666667,41.9259809520049,12
"9","NR4",1,198.909090909091,22.142513612752,11
"10","NR4",2,196.583333333333,45.0423201673782,12
"11","NR5",1,201.818181818182,16.0985600711255,11
"12","NR5",2,216,44.4563115469967,12
"13","NR6",1,192.272727272727,17.6470445632741,11
"14","NR6",2,212.25,35.2552381665735,12
"15","PR0",1,154.636363636364,20.9774770993689,11
"16","PR0",2,151.916666666667,36.5101687786077,12
"17","PR1",1,187.909090909091,49.3648752565112,11
"18","PR1",2,160.916666666667,24.9343076296435,12
"19","PR2",1,197.181818181818,43.3700776614896,11
"20","PR2",2,204,27.6010539983201,12
"21","PR3",1,196.909090909091,39.9561122869945,11
"22","PR3",2,204.166666666667,25.873234092866,12
"23","PR4",1,203.727272727273,41.9811646076926,11
"24","PR4",2,227.75,31.8437235145755,12
"25","PR5",1,216.727272727273,38.879534228411,11
"26","PR5",2,238.583333333333,31.1490794649722,12
"27","PR6",1,209.636363636364,36.5028018849861,11
"28","PR6",2,230.083333333333,49.4082406327552,12
