Mouse ID,Sex,Order,PR,NR
FEDXA01,M,2,63,132
FEDXA02,M,2,33,72
FEDXA03,M,2,51,156
FEDXA04,M,2,47,146
FEDXA05,M,2,32,99
FEDXA06,M,2,14,59
FEDXA07,M,1,51,71
FEDXA08,M,1,70,67
FEDXA09,M,1,47,60
FEDXA10,M,1,56,67
FEDXA11,M,1,42,61
FEDXA12,M,1,66,53
FEDXB01,F,2,13,31
FEDXB02,F,2,30,51
FEDXB03,F,2,16,23
FEDXB04,F,2,30,97
FEDXB05,F,2,31,53
FEDXB06,F,2,23,99
FEDXB07,F,1,47,82
FEDXB08,F,1,71,101
FEDXB10,F,1,21,33
FEDXB11,F,1,15,23
FEDXB12,F,1,102,116
