mouse_id,sex,order,PR,NR
FEDXA01,M,2,190,88
FEDXA02,M,2,293,144
FEDXA03,M,2,307,111
FEDXA04,M,2,248,86
FEDXA05,M,2,360,210
FEDXA06,M,2,390,228
FEDXA07,M,1,212,146
FEDXA08,M,1,120,176
FEDXA09,M,1,290,171
FEDXA10,M,1,185,178
FEDXA11,M,1,253,193
FEDXA12,M,1,270,216
FEDXB01,F,2,363,299
FEDXB02,F,2,291,206
FEDXB03,F,2,354,322
FEDXB04,F,2,271,131
FEDXB05,F,2,275,228
FEDXB06,F,2,313,224
FEDXB07,F,1,326,180
FEDXB08,F,1,157,93
FEDXB10,F,1,415,333
FEDXB11,F,1,261,293
FEDXB12,F,1,108,86
