mouse_id,sex,order,PR,NR
FEDXA01,M,2,1.1275592628004352,0.5276473556839512
FEDXA02,M,2,1.7483259298548033,0.8692954581659946
FEDXA03,M,2,1.8227036440879223,0.6672020757397911
FEDXA04,M,2,1.4769988204523308,0.5157412697963188
FEDXA05,M,2,2.1491289891963152,1.2612402195492234
FEDXA06,M,2,2.3217088041380656,1.369246013872624
FEDXA07,M,1,1.275484197666626,0.8687387916002084
FEDXA08,M,1,0.7215983403238172,1.0480488030806283
FEDXA09,M,1,1.7433996292770904,1.0232015437777675
FEDXA10,M,1,1.1114448783418445,1.0581870784921164
FEDXA11,M,1,1.5227357080520418,1.1446420275386244
FEDXA12,M,1,1.625124559444114,1.2845503743301374
FEDXB01,F,2,2.1833747408203195,1.7933036004351643
FEDXB02,F,2,1.7250038284019675,1.2394643027261194
FEDXB03,F,2,2.096021604943348,1.9417996153923467
FEDXB04,F,2,1.6969140376326697,0.7888451013321379
FEDXB05,F,2,1.6257252130274782,1.3621111395068652
FEDXB06,F,2,1.864652198,1.3367215511539663
FEDXB07,F,1,1.965174088,1.0632869020446942
FEDXB08,F,1,0.9371797720391454,0.5513035001514931
FEDXB10,F,1,2.479050858707376,1.9756032445509408
FEDXB11,F,1,1.5686379261124124,1.7439063303402995
FEDXB12,F,1,0.658836767,0.513981765
