"","F.1.NR","M.1.NR","F.2.NR","M.2.NR","F.1.PR","M.1.PR","F.2.PR","Comparison"
"M.1.NR",1,NA,NA,NA,NA,NA,NA,"M.1.NR"
"F.2.NR",1,1,NA,NA,NA,NA,NA,"F.2.NR"
"M.2.NR",0.170773160812305,0.377993507516583,0.224845688013387,NA,NA,NA,NA,"M.2.NR"
"F.1.PR",1,1,1,0.0345447427156396,NA,NA,NA,"F.1.PR"
"M.1.PR",1,1,1,0.0217120230141671,1,NA,NA,"M.1.PR"
"F.2.PR",0.344402147113319,0.0804142277169936,0.150781606111196,6.37570863241089e-05,1,1,NA,"F.2.PR"
"M.2.PR",1,0.875271729116352,1,0.00185846124357045,1,1,1,"M.2.PR"
