"","sex","order","Diet_Phase","mean_total_parameters","sd_total_parameters","count"
"1","F",1,"NR",102.8,49.5146442984295,5
"2","F",1,"PR",90,47.5552310476986,5
"3","F",2,"NR",107.833333333333,38.9328481704931,6
"4","F",2,"PR",53,13.2966161108757,6
"5","M",1,"NR",112.666666666667,14.1797978358884,6
"6","M",1,"PR",89.8333333333333,12.9833226358535,6
"7","M",2,"NR",159,42.3603588275642,6
"8","M",2,"PR",73.8333333333333,25.6235568699325,6
