Unnamed: 0,contrast,estimate,SE,df,t.ratio,p.value,Significance,Test Details
43,pr M order1 - grain M order2,-0.262208457244446,0.100300898814856,19,-2.61421842020032,0.336168122697322,,"t(19) = -2.614, p = 3.362e-01"
44,pr M order1 - pr M order2,0.100947683323846,0.0944080533936618,19,1.0692698312814,0.992704503961717,,"t(19) = 1.069, p = 9.927e-01"
45,pr M order1 - nr M order2,-0.414892545510001,0.114007399557636,19,-3.63917208110913,0.0562217464933831,,"t(19) = -3.639, p = 5.622e-02"
46,nr M order1 - grain F order2,-0.181746218590767,0.118933077448546,19,-1.52813853378507,0.914350851588321,,"t(19) = -1.528, p = 9.144e-01"
47,nr M order1 - pr F order2,0.353165646232551,0.114007399557636,19,3.09774319564241,0.154438327001774,,"t(19) = 3.098, p = 1.544e-01"
48,nr M order1 - nr F order2,0.023924215023807,0.130700014392533,19,0.183046766559299,0.999999999857057,,"t(19) = 0.183, p = 1.000e+00"
49,nr M order1 - grain M order2,-0.131891359475827,0.118933077448546,19,-1.10895439944272,0.990300168731394,,"t(19) = -1.109, p = 9.903e-01"
50,nr M order1 - pr M order2,0.231264781092464,0.114007399557636,19,2.02850676350661,0.671730780170745,,"t(19) = 2.029, p = 6.717e-01"
51,nr M order1 - nr M order2,-0.284575447741382,0.130700014392533,19,-2.17731764655139,0.581531234142597,,"t(19) = -2.177, p = 5.815e-01"
52,grain F order2 - pr F order2,0.534911864823318,0.0913337895425976,19,5.85666999587089,0.0005650911968286,***,"t(19) = 5.857, p = 5.651e-04"
53,grain F order2 - nr F order2,0.205670433614574,0.105344128764743,19,1.95236731297938,0.716531596731505,,"t(19) = 1.952, p = 7.165e-01"
54,grain F order2 - grain M order2,0.0498548591149403,0.105866236641129,19,0.470923126170443,0.999996570455706,,"t(19) = 0.471, p = 1.000e+00"
55,grain F order2 - pr M order2,0.413010999683232,0.100300898814856,19,4.11771982667476,0.0214394183208375,*,"t(19) = 4.118, p = 2.144e-02"
56,grain F order2 - nr M order2,-0.102829229150615,0.118933077448546,19,-0.864597396759549,0.998773071406675,,"t(19) = -0.865, p = 9.988e-01"
57,pr F order2 - nr F order2,-0.329241431208744,0.063609415406476,19,-5.17598580500747,0.0023361333799957,**,"t(19) = -5.176, p = 2.336e-03"
58,pr F order2 - grain M order2,-0.485057005708378,0.100300898814856,19,-4.83601853462687,0.0047787822222744,**,"t(19) = -4.836, p = 4.779e-03"
59,pr F order2 - pr M order2,-0.121900865140086,0.0944080533936618,19,-1.29121256882382,0.970513721588949,,"t(19) = -1.291, p = 9.705e-01"
60,pr F order2 - nr M order2,-0.637741093973933,0.114007399557636,19,-5.59385703426669,0.0009742191746164,***,"t(19) = -5.594, p = 9.742e-04"
61,nr F order2 - grain M order2,-0.155815574499634,0.118933077448546,19,-1.3101113486872,0.967440813028642,,"t(19) = -1.310, p = 9.674e-01"
62,nr F order2 - pr M order2,0.207340566068657,0.114007399557636,19,1.81865884910249,0.790234690659476,,"t(19) = 1.819, p = 7.902e-01"
63,nr F order2 - nr M order2,-0.308499662765189,0.130700014392533,19,-2.36036441311069,0.472160725340712,,"t(19) = -2.360, p = 4.722e-01"
64,grain M order2 - pr M order2,0.363156140568292,0.0913337895425976,19,3.97614226221192,0.0286475610093063,*,"t(19) = 3.976, p = 2.865e-02"
65,grain M order2 - nr M order2,-0.152684088265555,0.105344128764743,19,-1.44938393867714,0.937481306813614,,"t(19) = -1.449, p = 9.375e-01"
66,pr M order2 - nr M order2,-0.515840228833847,0.063609415406476,19,-8.10949488432697,7.0622248400376e-06,***,"t(19) = -8.109, p = 7.062e-06"
