,,Effect,sum_sq,df,F,PR(>F),p_value,Sex,Order,mean,std,count
PR3,1,C(Order),345.75793650793713,1.0,0.29388689885927505,0.5940421071692528,,F,2,201.66666666666666,28.2465337106461,6
PR3,2,C(Sex):C(Order),247.65873015872813,1.0,0.21050465801846846,0.6515772954988215,,M,1,205.16666666666666,39.11734483150239,6
PR3,3,Residual,22353.5,19.0,,,,M,2,206.66666666666666,25.68787002977605,6
PR4,0,C(Sex),2778.003246753226,1.0,2.0330663393259054,0.17013350247329084,,F,1,193.2,55.84979856722851,5
PR4,1,C(Order),3586.366883116896,1.0,2.624662803781749,0.12169373778638154,,F,2,215.5,28.218788067526926,6
PR4,2,C(Sex):C(Order),38.62857142857283,1.0,0.028270106739243184,0.8682522272091232,,M,1,212.5,28.745434420095307,6
PR4,3,Residual,25961.800000000003,19.0,,,,M,2,240.0,32.77804143020141,6
PR5,0,C(Sex),0.13023088023098706,1.0,0.00010076108983555598,0.9920956340090772,,F,1,225.2,38.59015418471401,5
PR5,1,C(Order),2734.130230880237,1.0,2.1154271654095917,0.16214281646355921,,F,2,231.66666666666666,36.53309002352069,6
PR5,2,C(Sex):C(Order),1232.0015873015989,1.0,0.953213419086656,0.3411706231160935,,M,1,209.66666666666666,41.234289937704354,6
PR5,3,Residual,24556.966666666667,19.0,,,,M,2,245.5,26.17441498868695,6
PR6,0,C(Sex),4396.493867243832,1.0,3.5525460431932983,0.07484445794834796,,F,1,221.0,45.48076516506731,5
PR6,1,C(Order),2698.4938672438693,1.0,2.18049291097235,0.15615267653753254,,F,2,194.16666666666666,24.17781352121541,6
PR6,2,C(Sex):C(Order),12267.301587301612,1.0,9.912479132365458,0.0052913205473775655,**,M,1,200.16666666666666,27.80947080882099,6
PR6,3,Residual,23513.666666666668,19.0,,,,M,2,266.0,41.10960958218894,6
