,component,diet_phase,sex,order,mean_value,sd_value,n,,,,,,,,time_phase,sex,order,mean_value,sd_value,n
67,number_of_snacks,nr,M,1,94.66666667,47.79818686,6,,,,,,,,,,,,,
68,number_of_snacks,nr,M,2,91.66666667,13.96662689,6,,,,,,,,,,,,,
69,number_of_snacks,pr,F,1,154,119.1784376,5,,,,,,,,,,,,,
70,number_of_snacks,pr,F,2,220.3333333,39.28188726,6,,,,,,,,,,,,,
71,number_of_snacks,pr,M,1,123.3333333,68.33642269,6,,,,,,,,,,,,,
72,number_of_snacks,pr,M,2,220.1666667,51.8976557,6,,,,,,,,,,,,,
73,snack_frequency,grain,F,1,0.562363085,0.28358921,5,,,,,,,,,,,,,
74,snack_frequency,grain,F,2,0.644908834,0.266549813,6,,,,,,,,,,,,,
75,snack_frequency,grain,M,1,0.677493274,0.159248265,6,,,,,,,,,,,,,
76,snack_frequency,grain,M,2,0.911299025,0.318164013,6,,,,,,,,,,,,,
77,snack_frequency,nr,F,1,0.744855875,0.725248131,5,,,,,,,,,,,,,
78,snack_frequency,nr,F,2,0.51695439,0.167469157,6,,,,,,,,,,,,,
79,snack_frequency,nr,M,1,0.563033104,0.283153063,6,,,,,,,,,,,,,
80,snack_frequency,nr,M,2,0.550817328,0.084075062,6,,,,,,,,,,,,,
81,snack_frequency,pr,F,1,0.924509685,0.714564428,5,,,,,,,,,,,,,
82,snack_frequency,pr,F,2,1.323748651,0.252236203,6,,,,,,,,,,,,,
83,snack_frequency,pr,M,1,0.741927637,0.411497609,6,,,,,,,,,,,,,
84,snack_frequency,pr,M,2,1.310304399,0.307517825,6,,,,,,,,,,,,,
85,snack_size,grain,F,1,1,0,5,,,,,,,,,,,,,
86,snack_size,grain,F,2,1,0,6,,,,,,,,,,,,,
87,snack_size,grain,M,1,1,0,6,,,,,,,,,,,,,
88,snack_size,grain,M,2,1,0,6,,,,,,,,,,,,,
89,snack_size,nr,F,1,1,0,5,,,,,,,,,,,,,
90,snack_size,nr,F,2,1,0,6,,,,,,,,,,,,,
91,snack_size,nr,M,1,1,0,6,,,,,,,,,,,,,
92,snack_size,nr,M,2,1,0,6,,,,,,,,,,,,,
93,snack_size,pr,F,1,1,0,5,,,,,,,,,,,,,
94,snack_size,pr,F,2,1,0,6,,,,,,,,,,,,,
95,snack_size,pr,M,1,1,0,6,,,,,,,,,,,,,
96,snack_size,pr,M,2,1,0,6,,,,,,,,,,,,,
