Unnamed: 0,contrast,estimate,SE,df,t.ratio,p.value,Significance,Test Details
1,grain F order1 - pr F order1,-0.45610823562218,0.226641987947031,19,-2.01246132613688,0.681291733493515,,"t(19) = -2.012, p = 6.813e-01"
2,grain F order1 - nr F order1,-0.103948701667879,0.226607462158761,19,-0.458717028458017,0.999997383478246,,"t(19) = -0.459, p = 1.000e+00"
3,grain F order1 - grain M order1,-0.0204597389377121,0.252577542134371,19,-0.0810037929929158,1.0,,"t(19) = -0.081, p = 1.000e+00"
4,grain F order1 - pr M order1,-0.267630238767983,0.266460636117408,19,-1.00438940125497,0.995594931265662,,"t(19) = -1.004, p = 9.956e-01"
5,grain F order1 - nr M order1,-0.0055604563869741,0.25483339347983,19,-0.0218199675915483,1.0,,"t(19) = -0.022, p = 1.000e+00"
6,grain F order1 - grain F order2,-0.15791319501995,0.252577542134371,19,-0.625206792676524,0.999940732017063,,"t(19) = -0.625, p = 9.999e-01"
7,grain F order1 - pr F order2,-0.799614290388024,0.266460636117408,19,-3.00087210643638,0.182553681933858,,"t(19) = -3.001, p = 1.826e-01"
8,grain F order1 - nr F order2,-0.344706571674827,0.25483339347983,19,-1.35267425892561,0.959690540708354,,"t(19) = -1.353, p = 9.597e-01"
9,grain F order1 - grain M order2,-0.30990285825121,0.252577542134371,19,-1.22696125566992,0.979392737999239,,"t(19) = -1.227, p = 9.794e-01"
10,grain F order1 - pr M order2,-0.708736595005372,0.266460636117408,19,-2.65981724479967,0.31450229717934,,"t(19) = -2.660, p = 3.145e-01"
11,grain F order1 - nr M order2,0.197272247948289,0.25483339347983,19,0.7741224384076,0.999547555862185,,"t(19) = 0.774, p = 9.995e-01"
12,pr F order1 - nr F order1,0.352159533954301,0.137374615943478,19,2.56349785974429,0.361337045171566,,"t(19) = 2.563, p = 3.613e-01"
13,pr F order1 - grain M order1,0.435648496684468,0.269151336169792,19,1.61860053486653,0.882033332108052,,"t(19) = 1.619, p = 8.820e-01"
14,pr F order1 - pr M order1,0.188477996854198,0.282220299715379,19,0.66783997127166,0.999887559674786,,"t(19) = 0.668, p = 9.999e-01"
15,pr F order1 - nr M order1,0.450547779235206,0.271269396364186,19,1.66088687214216,0.864858750636541,,"t(19) = 1.661, p = 8.649e-01"
