"contrast","estimate","SE","df","t.ratio","p.value","contrast_pretty"
"PR X2 Order2 - NR X6 Order2",-8.25000000000006,11.9009068433495,21,-0.693224483528356,0.99999999829864,"NANA OrderNA - NANA OrderNA"
"PR X2 Order2 - PR X6 Order2",-26.0833333333333,15.9183985519245,21,-1.63856516396744,0.992247764352519,"NANA OrderNA - NANA OrderNA"
"NR X3 Order2 - PR X3 Order2",0.999999999999896,10.5833802023709,21,0.0944877705306169,1,"NANA OrderNA - NANA OrderNA"
"NR X3 Order2 - NR X4 Order2",8.58333333333332,5.7095425089385,21,1.50333118982752,0.997367006508805,"NANA OrderNA - NANA OrderNA"
"NR X3 Order2 - PR X4 Order2",-22.5833333333333,10.5602115310522,21,-2.13853039467319,0.897491416594593,"NANA OrderNA - NANA OrderNA"
"NR X3 Order2 - NR X5 Order2",-10.8333333333333,9.81304924811526,21,-1.10397217617287,0.999978247259553,"NANA OrderNA - NANA OrderNA"
"NR X3 Order2 - PR X5 Order2",-33.4166666666667,11.3488257259659,21,-2.94450434552096,0.455334304723748,"NANA OrderNA - NANA OrderNA"
"NR X3 Order2 - NR X6 Order2",-7.08333333333343,9.20176443596383,21,-0.769779902824854,0.999999982788495,"NANA OrderNA - NANA OrderNA"
"NR X3 Order2 - PR X6 Order2",-24.9166666666667,9.85028774151642,21,-2.52953693541858,0.705558123278096,"NANA OrderNA - NANA OrderNA"
"PR X3 Order2 - NR X4 Order2",7.58333333333342,12.2317107829301,21,0.619973237424507,0.99999999986846,"NANA OrderNA - NANA OrderNA"
"PR X3 Order2 - PR X4 Order2",-23.5833333333332,6.16330443421558,21,-3.826410586245,0.111613778137453,"NANA OrderNA - NANA OrderNA"
"PR X3 Order2 - NR X5 Order2",-11.8333333333332,12.9511560674113,21,-0.91368934724748,0.999999387773401,"NANA OrderNA - NANA OrderNA"
"PR X3 Order2 - PR X5 Order2",-34.4166666666666,7.93289140183237,21,-4.33847697180336,0.0412745864139519,"NANA OrderNA - NANA OrderNA"
"PR X3 Order2 - NR X6 Order2",-8.08333333333333,10.8385449224772,21,-0.745795066694788,0.999999991364442,"NANA OrderNA - NANA OrderNA"
"PR X3 Order2 - PR X6 Order2",-25.9166666666666,11.6293789303193,21,-2.22855122547417,0.861831296146775,"NANA OrderNA - NANA OrderNA"
"NR X4 Order2 - PR X4 Order2",-31.1666666666667,11.6624657454205,21,-2.67239084315466,0.619319822731543,"NANA OrderNA - NANA OrderNA"
"NR X4 Order2 - NR X5 Order2",-19.4166666666667,9.60692247056566,21,-2.02111203938168,0.934779925599083,"NANA OrderNA - NANA OrderNA"
"NR X4 Order2 - PR X5 Order2",-42,11.6301531271287,21,-3.61130240856675,0.164419976316036,"NANA OrderNA - NANA OrderNA"
"NR X4 Order2 - NR X6 Order2",-15.6666666666667,9.86037688057775,21,-1.5888506957098,0.994659466415291,"NANA OrderNA - NANA OrderNA"
"NR X4 Order2 - PR X6 Order2",-33.5,10.0232233944479,21,-3.34223818842115,0.257620818437471,"NANA OrderNA - NANA OrderNA"
"PR X4 Order2 - NR X5 Order2",11.75,13.8106755192227,21,0.850791113269259,0.999999856549051,"NANA OrderNA - NANA OrderNA"
"PR X4 Order2 - PR X5 Order2",-10.8333333333333,6.61817682978209,21,-1.6369059957091,0.992340320825045,"NANA OrderNA - NANA OrderNA"
"PR X4 Order2 - NR X6 Order2",15.4999999999999,12.0754452533386,21,1.28359656102242,0.999730981900835,"NANA OrderNA - NANA OrderNA"
"PR X4 Order2 - PR X6 Order2",-2.33333333333331,10.1009931457289,21,-0.231000387750974,1,"NANA OrderNA - NANA OrderNA"
"NR X5 Order2 - PR X5 Order2",-22.5833333333333,14.3441025099438,21,-1.57439849008872,0.995232220426424,"NANA OrderNA - NANA OrderNA"
"NR X5 Order2 - NR X6 Order2",3.74999999999991,4.29607483858918,21,0.872889821731178,0.999999756826625,"NANA OrderNA - NANA OrderNA"
"NR X5 Order2 - PR X6 Order2",-14.0833333333333,15.428605805593,21,-0.912806608114132,0.999999399480291,"NANA OrderNA - NANA OrderNA"
"PR X5 Order2 - NR X6 Order2",26.3333333333333,12.7209666229808,21,2.07007329818485,0.920512189073825,"NANA OrderNA - NANA OrderNA"
"PR X5 Order2 - PR X6 Order2",8.50000000000002,10.1324383006415,21,0.838889884921571,0.999999892955692,"NANA OrderNA - NANA OrderNA"
"NR X6 Order2 - PR X6 Order2",-17.8333333333332,14.891434115115,21,-1.19755647410965,0.999912084574998,"NANA OrderNA - NANA OrderNA"
