"Order","phase","day","n","mean","sd"
"1","NR","0",11,178.181818181818,16.7977271189776
"1","NR","1",11,184.909090909091,15.0363196657596
"1","NR","2",11,196.636363636364,16.9544845234099
"1","NR","3",11,188.909090909091,15.6170070465153
"1","NR","4",11,198.909090909091,22.142513612752
"1","NR","5",11,201.818181818182,16.0985600711255
"1","NR","6",11,192.272727272727,17.6470445632741
"1","PR","0",11,154.636363636364,20.9774770993689
"1","PR","1",11,187.909090909091,49.3648752565112
"1","PR","2",11,197.181818181818,43.3700776614896
"1","PR","3",11,196.909090909091,39.9561122869945
"1","PR","4",11,203.727272727273,41.9811646076926
"1","PR","5",11,216.727272727273,38.879534228411
"1","PR","6",11,209.636363636364,36.5028018849861
"2","NR","0",12,240.666666666667,52.3143181049689
"2","NR","1",12,243.416666666667,49.6395339757872
"2","NR","2",12,215,36.4117863035883
"2","NR","3",12,205.166666666667,41.9259809520049
"2","NR","4",12,196.583333333333,45.0423201673782
"2","NR","5",12,216,44.4563115469967
"2","NR","6",12,212.25,35.2552381665735
"2","PR","0",12,151.916666666667,36.5101687786077
"2","PR","1",12,160.916666666667,24.9343076296435
"2","PR","2",12,204,27.6010539983201
"2","PR","3",12,204.166666666667,25.873234092866
"2","PR","4",12,227.75,31.8437235145755
"2","PR","5",12,238.583333333333,31.1490794649722
"2","PR","6",12,230.083333333333,49.4082406327552
