"contrast","estimate","SE","df","t.ratio","p.value"
"PR0 Order2 - PR1 Order2",-9.00000000000004,9.59376902163086,21,-0.938108889187132,0.358853524495848
"PR0 Order2 - PR2 Order2",-52.0833333333334,11.1987180281399,21,-4.65082996129195,0.000686115016888086
"PR0 Order2 - PR3 Order2",-52.2500000000001,14.0591764951914,21,-3.71643389055332,0.00383175013014944
"PR0 Order2 - PR4 Order2",-75.8333333333333,14.5562095730048,21,-5.20968957976325,0.000329326541718942
"PR0 Order2 - PR5 Order2",-86.6666666666667,13.9092260915757,21,-6.23087626127218,4.56983219227198e-05
"PR0 Order2 - PR6 Order2",-78.1666666666666,13.8786787868199,21,-5.63214034039744,0.000136988342054582
"PR0 Order2 - NR0 Order2",-88.75,15.0270889355158,21,-5.90600084825768,8.04776031009655e-05
"PR0 Order2 - NR1 Order2",-91.5,15.3329686574364,21,-5.96753323144784,7.63411282180759e-05
"PR0 Order2 - NR2 Order2",-63.0833333333333,12.5794170295858,21,-5.01480578829419,0.000405151809955232
"PR0 Order2 - NR3 Order2",-53.25,12.3382280856844,21,-4.31585472648085,0.00122118519471415
"PR0 Order2 - NR4 Order2",-44.6666666666667,12.8598749168249,21,-3.473336012641,0.00454132287411151
"PR0 Order2 - NR5 Order2",-64.0833333333333,13.4693292143792,21,-4.75772269824105,0.000638463017432018
"PR0 Order2 - NR6 Order2",-60.3333333333334,11.6160828782073,21,-5.19394824967403,0.000329326541718942
