Mouse,Day,Sex,Order,D
FEDXB11,7,F,NRPR,201
FEDXB12,7,F,NRPR,220
FEDXB01,7,F,PRNR,244
FEDXB02,7,F,PRNR,185
FEDXB03,7,F,PRNR,254
FEDXB04,7,F,PRNR,191
FEDXB05,7,F,PRNR,203
FEDXB06,7,F,PRNR,216
FEDXA07,8,M,NRPR,205
FEDXA08,8,M,NRPR,182
FEDXA09,8,M,NRPR,193
FEDXA10,8,M,NRPR,207
FEDXA11,8,M,NRPR,183
FEDXA12,8,M,NRPR,215
FEDXA01,8,M,PRNR,231
FEDXA02,8,M,PRNR,226
FEDXA03,8,M,PRNR,280
FEDXA04,8,M,PRNR,272
FEDXA05,8,M,PRNR,249
FEDXA06,8,M,PRNR,215
FEDXB07,8,F,NRPR,210
FEDXB08,8,F,NRPR,211
FEDXB10,8,F,NRPR,235
FEDXB11,8,F,NRPR,190
FEDXB12,8,F,NRPR,189
FEDXB01,8,F,PRNR,255
FEDXB02,8,F,PRNR,192
FEDXB03,8,F,PRNR,284
FEDXB04,8,F,PRNR,206
FEDXB05,8,F,PRNR,250
FEDXB06,8,F,PRNR,203
FEDXA07,9,M,NRPR,189
FEDXA08,9,M,NRPR,182
FEDXA09,9,M,NRPR,211
FEDXA10,9,M,NRPR,187
FEDXA11,9,M,NRPR,188
FEDXA12,9,M,NRPR,217
FEDXA01,9,M,PRNR,240
FEDXA02,9,M,PRNR,214
FEDXA03,9,M,PRNR,318
FEDXA04,9,M,PRNR,305
FEDXA05,9,M,PRNR,279
FEDXA06,9,M,PRNR,240
FEDXB07,9,F,NRPR,190
FEDXB08,9,F,NRPR,181
FEDXB10,9,F,NRPR,225
FEDXB11,9,F,NRPR,171
FEDXB12,9,F,NRPR,174
FEDXB01,9,F,PRNR,185
FEDXB02,9,F,PRNR,167
FEDXB03,9,F,PRNR,207
FEDXB04,9,F,PRNR,216
FEDXB05,9,F,PRNR,222
FEDXB06,9,F,PRNR,168
FEDXA07,10,M,NRPR,142
FEDXA08,10,M,NRPR,133
FEDXA09,10,M,NRPR,151
FEDXA10,10,M,NRPR,153
FEDXA11,10,M,NRPR,149
FEDXA12,10,M,NRPR,169
FEDXA01,10,M,PRNR,246
FEDXA02,10,M,PRNR,225
FEDXA03,10,M,PRNR,352
FEDXA04,10,M,PRNR,293
FEDXA05,10,M,PRNR,267
FEDXA06,10,M,PRNR,228
FEDXB07,10,F,NRPR,147
FEDXB08,10,F,NRPR,149
FEDXB10,10,F,NRPR,212
FEDXB11,10,F,NRPR,143
FEDXB12,10,F,NRPR,153
FEDXB01,10,F,PRNR,245
FEDXB02,10,F,PRNR,184
FEDXB03,10,F,PRNR,240
FEDXB04,10,F,PRNR,233
FEDXB05,10,F,PRNR,237
FEDXB06,10,F,PRNR,138
FEDXA07,11,M,NRPR,167
FEDXA08,11,M,NRPR,149
FEDXA09,11,M,NRPR,188
FEDXA10,11,M,NRPR,160
FEDXA11,11,M,NRPR,84
FEDXA12,11,M,NRPR,239
FEDXA01,11,M,PRNR,234
FEDXA02,11,M,PRNR,171
FEDXA03,11,M,PRNR,351
FEDXA04,11,M,PRNR,267
FEDXA05,11,M,PRNR,259
FEDXA06,11,M,PRNR,211
FEDXB07,11,F,NRPR,219
FEDXB08,11,F,NRPR,210
FEDXB10,11,F,NRPR,270
FEDXB11,11,F,NRPR,187
FEDXB12,11,F,NRPR,194
FEDXB01,11,F,PRNR,214
FEDXB02,11,F,PRNR,199
FEDXB03,11,F,PRNR,239
FEDXB04,11,F,PRNR,245
FEDXB05,11,F,PRNR,218
FEDXB06,11,F,PRNR,313
FEDXA07,12,M,NRPR,168
FEDXA08,12,M,NRPR,151
FEDXA09,12,M,NRPR,201
FEDXA10,12,M,NRPR,193
FEDXA11,12,M,NRPR,211
FEDXA12,12,M,NRPR,257
FEDXA01,12,M,PRNR,222
FEDXA02,12,M,PRNR,195
FEDXA03,12,M,PRNR,279
FEDXA04,12,M,PRNR,240
FEDXA05,12,M,PRNR,254
FEDXA06,12,M,PRNR,184
FEDXB07,12,F,NRPR,265
FEDXB08,12,F,NRPR,176
FEDXB10,12,F,NRPR,241
FEDXB11,12,F,NRPR,129
FEDXB12,12,F,NRPR,177
FEDXB01,12,F,PRNR,168
FEDXB02,12,F,PRNR,153
FEDXB03,12,F,PRNR,232
FEDXB04,12,F,PRNR,206
FEDXB05,12,F,PRNR,210
FEDXB06,12,F,PRNR,237
FEDXA07,13,M,NRPR,188
FEDXA08,13,M,NRPR,150
FEDXA09,13,M,NRPR,211
FEDXA10,13,M,NRPR,187
FEDXA11,13,M,NRPR,234
FEDXA12,13,M,NRPR,261
FEDXA01,13,M,PRNR,211
FEDXA02,13,M,PRNR,172
FEDXA03,13,M,PRNR,288
FEDXA04,13,M,PRNR,210
FEDXA05,13,M,PRNR,267
FEDXA06,13,M,PRNR,204
FEDXB07,13,F,NRPR,255
FEDXB08,13,F,NRPR,175
FEDXB10,13,F,NRPR,192
FEDXB11,13,F,NRPR,137
FEDXB12,13,F,NRPR,176
FEDXB01,13,F,PRNR,158
FEDXB02,13,F,PRNR,148
FEDXB03,13,F,PRNR,188
FEDXB04,13,F,PRNR,190
FEDXB05,13,F,PRNR,187
FEDXB06,13,F,PRNR,239
FEDXA07,14,M,NRPR,198
FEDXA08,14,M,NRPR,174
FEDXA09,14,M,NRPR,242
FEDXA10,14,M,NRPR,192
FEDXA11,14,M,NRPR,225
FEDXA12,14,M,NRPR,244
FEDXA01,14,M,PRNR,241
FEDXA02,14,M,PRNR,182
FEDXA03,14,M,PRNR,251
FEDXA04,14,M,PRNR,239
FEDXA05,14,M,PRNR,238
FEDXA06,14,M,PRNR,193
FEDXB07,14,F,NRPR,288
FEDXB08,14,F,NRPR,182
FEDXB10,14,F,NRPR,172
FEDXB11,14,F,NRPR,140
FEDXB12,14,F,NRPR,184
FEDXB01,14,F,PRNR,148
FEDXB02,14,F,PRNR,118
FEDXB03,14,F,PRNR,182
FEDXB04,14,F,PRNR,164
FEDXB05,14,F,PRNR,158
FEDXB06,14,F,PRNR,245
FEDXA07,15,M,NRPR,201
FEDXA08,15,M,NRPR,145
FEDXA09,15,M,NRPR,255
FEDXA10,15,M,NRPR,189
FEDXA11,15,M,NRPR,251
FEDXA12,15,M,NRPR,217
FEDXA01,15,M,PRNR,223
FEDXA02,15,M,PRNR,175
FEDXA03,15,M,PRNR,222
FEDXA04,15,M,PRNR,239
FEDXA05,15,M,PRNR,239
FEDXA06,15,M,PRNR,177
FEDXB07,15,F,NRPR,285
FEDXB08,15,F,NRPR,219
FEDXB10,15,F,NRPR,221
FEDXB11,15,F,NRPR,177
FEDXB12,15,F,NRPR,224
FEDXB01,15,F,PRNR,215
FEDXB02,15,F,PRNR,192
FEDXB03,15,F,PRNR,168
FEDXB04,15,F,PRNR,199
FEDXB05,15,F,PRNR,208
FEDXB06,15,F,PRNR,335
FEDXA07,16,M,NRPR,196
FEDXA08,16,M,NRPR,165
FEDXA09,16,M,NRPR,176
FEDXA10,16,M,NRPR,200
FEDXA11,16,M,NRPR,231
FEDXA12,16,M,NRPR,233
FEDXA01,16,M,PRNR,219
FEDXA02,16,M,PRNR,181
FEDXA03,16,M,PRNR,228
FEDXA04,16,M,PRNR,215
FEDXA05,16,M,PRNR,219
FEDXA06,16,M,PRNR,187
FEDXB07,16,F,NRPR,291
FEDXB08,16,F,NRPR,188
FEDXB10,16,F,NRPR,242
FEDXB11,16,F,NRPR,183
FEDXB12,16,F,NRPR,201
FEDXB01,16,F,PRNR,221
FEDXB02,16,F,PRNR,198
FEDXB03,16,F,PRNR,173
FEDXB04,16,F,PRNR,178
FEDXB05,16,F,PRNR,223
FEDXB06,16,F,PRNR,305
